team,city,stadium,foundation_year,nickname,team_color,team_color_darker
Manchester City,Manchester,Etihad Stadium,1880,Man City,#6CABDD,#4580AA
Manchester United,Manchester,Old Trafford,1878,Man Utd,#DA291C,#991C14
Arsenal,London,Emirates Stadium,1886,Arsenal,#EF0107,#A60105
Liverpool,Liverpool,Anfield,1892,Liverpool,#C8102E,#8C0B20
Chelsea,London,Stamford Bridge,1905,Chelsea,#034694,#022C5E
Tottenham Hotspur,London,Tottenham Hotspur Stadium,1882,Spurs,#132257,#0B1433
Newcastle United,Newcastle upon Tyne,St. James' Park,1892,Newcastle Utd,#241F20,#000000
Aston Villa,Birmingham,Villa Park,1874,Aston Villa,#670E36,#450924
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,1877,Wolves,#FDB913,#B3820D
Leeds United,Leeds,Elland Road,1919,Leeds Utd,#1D428A,#122A57
Leicester City,Leicester,King Power Stadium,1884,Leicester,#003090,#002060
West Ham United,London,London Stadium,1895,West Ham,#7A263A,#541A28
Sunderland,Sunderland,Stadium of Light,1879,Sunderland,#DA291C,#991C14
Nottingham Forest,West Bridgford,City Ground,1865,Nottm Forest,#DD0000,#990000
Everton,Liverpool,Goodison Park,1878,Everton,#003399,#002266
Burnley,Burnley,Turf Moor,1882,Burnley,#6C1D45,#42122B
Sheffield United,Sheffield,Bramall Lane,1889,Sheff Utd,#EE2737,#991923
Luton Town,Luton,Kenilworth Road,1885,Luton,#F78F1E,#B36615
Middlesbrough,Middlesbrough,Riverside Stadium,1876,Middlesbrough,#DC1F29,#8F141B
Coventry City,Coventry,Coventry Building Society Arena,1883,Coventry,#00AEEF,#007ACC
Norwich City,Norwich,Carrow Road,1902,Norwich,#FFF200,#B3A900
West Bromwich Albion,West Bromwich,The Hawthorns,1878,West Brom,#122F67,#0B1D40
Hull City,Hull,MKM Stadium,1904,Hull,#F5A12D,#B37421
Southampton,Southampton,St Mary's Stadium,1885,Southampton,#D71920,#8C1015
Watford,Watford,Vicarage Road,1881,Watford,#FBEE23,#B3A919
Ipswich Town,Ipswich,Portman Road,1878,Ipswich,#0054A6,#00366B
Sheffield Wednesday,Sheffield,Hillsborough,1867,Sheff Wed,#0E00F0,#090099
Blackburn Rovers,Blackburn,Ewood Park,1875,Blackburn,#009EE0,#006B96
Stoke City,Stoke-on-Trent,bet365 Stadium,1863,Stoke,#E03A3E,#942629
Queens Park Rangers,London,Loftus Road,1882,QPR,#0054A6,#00366B
Preston North End,Preston,Deepdale,1880,Preston,#FFFFFF,#CCCCCC
Bristol City,Bristol,Ashton Gate,1894,Bristol City,#E30613,#96040C
Swansea City,Swansea,Swansea.com Stadium,1912,Swansea,#000000,#000000
Cardiff City,Cardiff,Cardiff City Stadium,1899,Cardiff,#0070B5,#004C7A
Millwall,London,The Den,1885,Millwall,#001E4D,#00122E
Fulham,London,Craven Cottage,1879,Chelsea,#000000,#4D4D4D
Brighton,Brighton and Hove,American Express Stadium,1901,Crystal Palace,#0057B8,#002D5E 
Crystal Palace,London,Selhurst Park Stadium,1861,Brighton,#1B458F,#A71930
Bournemouth,Bournemouth,Vitality Stadium,1899,,#DA1A1A,#000000
