Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,1,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,38,20,12,24,2,20,32,62.5,12,18,3,15,25,63,43,3,Matches
Declan Rice,eng ENG,MF,27-000,18.8,35,20,19,11,5,13,24,54.2,11,16,7,9,19,54,46,0,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,46,28,26,13,7,16,23,69.6,7,16,6,10,16,62,41,0,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,25,11,6,8,11,11,22,50.0,11,16,0,16,4,29,6,1,Matches
William Saliba,fr FRA,DF,24-296,15.0,18,8,10,8,0,9,13,69.2,4,4,4,0,7,25,63,1,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,4,3,0,3,1,1,4,25.0,3,6,1,5,0,4,13,1,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,28,17,13,8,7,15,22,68.2,7,9,1,8,13,41,47,1,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,14,6,9,5,0,5,9,55.6,4,22,18,4,13,27,79,3,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,14,10,3,9,2,5,14,35.7,9,16,1,15,4,18,9,0,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,10,6,3,7,0,2,6,33.3,4,3,1,2,5,15,7,0,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,14,5,5,6,3,5,15,33.3,10,0,0,0,7,21,5,0,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,23,12,3,12,8,9,15,60.0,6,10,2,8,7,30,19,0,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,19,10,11,4,4,5,15,33.3,10,11,5,6,14,33,43,0,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,6,3,0,2,4,6,15,40.0,9,5,0,5,3,9,5,0,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,5,5,0,4,1,4,7,57.1,3,5,1,4,0,5,3,0,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,11,7,6,4,1,6,7,85.7,1,3,2,1,6,17,15,0,Matches
Ben White,eng ENG,DF,28-098,3.2,11,7,5,4,2,5,9,55.6,4,9,3,6,1,12,13,0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,4,3,2,1,1,3,5,60.0,2,4,0,4,2,6,9,1,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,1,0,0,1,0,0,3,0.0,3,4,0,4,0,1,1,0,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,4,0,2,1,1,1,2,50.0,1,4,0,4,1,5,2,0,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,5,0,Matches
Kai Havertz,de GER,FW,26-217,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Max Dowman,eng ENG,FW,16-014,0.3,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0,Matches
Squad Total,,,26.5,21.0,332,183,136,136,60,142,266,53.4,124,184,56,128,147,479,488,12,
Opponent Total,,,26.8,21.0,325,196,192,110,23,167,324,51.5,157,225,87,138,148,473,699,26,
