Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,21,12,5,11,5,9,22,40.9,13,14,1,13,9,30,16,1,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,11,5,6,5,0,2,4,50.0,2,23,17,6,14,25,77,2,Matches
Matty Cash,pl POL,DF,28-160,19.7,35,18,23,10,2,20,39,51.3,19,24,8,16,15,50,70,2,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,27,15,10,12,5,10,22,45.5,12,16,5,11,11,38,13,0,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,11,6,1,6,4,2,4,50.0,2,7,0,7,4,15,10,0,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,4,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,37,17,19,14,4,16,35,45.7,19,21,8,13,18,55,22,3,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,21,15,15,3,3,17,27,63.0,10,9,3,6,9,30,38,1,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,35,20,11,20,4,15,27,55.6,12,18,7,11,7,42,9,1,Matches
Amadou Onana,be BEL,MF,24-151,9.9,27,19,11,14,2,9,14,64.3,5,14,9,5,14,41,32,2,Matches
Pau Torres,es ESP,DF,28-363,10.6,15,10,8,7,0,9,16,56.3,7,13,12,1,6,21,41,1,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,25,13,10,13,2,11,24,45.8,13,15,2,13,5,30,14,1,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,21,17,13,6,2,18,30,60.0,12,1,0,1,6,27,38,1,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,4,1,4,0,0,1,3,33.3,2,8,4,4,3,7,24,0,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,16,9,6,9,1,5,8,62.5,3,10,1,9,0,16,7,0,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,2,1,1,1,0,0,1,0.0,1,6,5,1,4,6,31,0,Matches
Donyell Malen,nl NED,FW,27-005,7.3,4,3,1,2,1,2,4,50.0,2,4,0,4,0,4,5,0,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,9,5,6,2,1,4,7,57.1,3,9,4,5,1,10,10,2,Matches
Marco Bizot,nl NED,GK,34-310,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,1,0,0,0,1,0,3,0.0,3,2,0,2,1,2,7,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,0,0,0,0,0,0,0,,0,4,1,3,0,0,1,0,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,3,2,0,3,0,2,5,40.0,3,1,1,0,0,3,1,0,Matches
Andrés García,es ESP,DF,22-341,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
George Hemmings,eng ENG,MF,18-316,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,21.0,325,188,150,138,37,152,297,51.2,145,220,88,132,127,452,478,22,
Opponent Total,,,26.5,21.0,433,241,188,176,69,190,333,57.1,143,219,74,145,193,626,538,17,
