Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,19.3,26,19,11,15,0,17,23,73.9,6,16,10,6,19,45,115,0,Matches
Robert Sánchez,es ESP,GK,28-057,19.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,1,Matches
Enzo Fernández,ar ARG,MF,24-362,18.9,38,19,17,15,6,22,39,56.4,17,21,1,20,10,48,18,0,Matches
Pedro Neto,pt POR,FW,25-311,18.2,13,7,4,4,5,7,22,31.8,15,8,0,8,6,19,8,0,Matches
Marc Cucurella,es ESP,DF,27-176,16.9,35,25,21,8,6,13,23,56.5,10,27,5,22,18,53,57,1,Matches
João Pedro,br BRA,"FW,MF",24-110,16.9,15,11,2,8,5,3,6,50.0,3,12,3,9,5,20,19,0,Matches
Moisés Caicedo,ec ECU,MF,24-073,14.9,45,26,20,16,9,26,39,66.7,13,19,9,10,37,82,14,1,Matches
Reece James,eng ENG,"DF,MF",26-037,15.2,37,25,17,15,5,15,23,65.2,8,12,5,7,25,62,26,3,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,13.6,32,19,15,9,8,20,32,62.5,12,9,1,8,20,52,24,1,Matches
Alejandro Garnacho,ar ARG,FW,21-197,8.5,7,6,0,4,3,5,9,55.6,4,4,0,4,3,10,5,0,Matches
Wesley Fofana,fr FRA,DF,25-028,8.4,13,8,9,4,0,9,12,75.0,3,13,8,5,17,30,63,0,Matches
Cole Palmer,eng ENG,"MF,FW",23-253,7.4,10,6,3,6,1,4,9,44.4,5,1,0,1,7,17,3,0,Matches
Estêvão Willian,br BRA,FW,18-265,6.8,9,5,5,3,1,4,13,30.8,9,5,0,5,2,11,3,0,Matches
Liam Delap,eng ENG,FW,22-340,6.4,1,1,0,0,1,1,5,20.0,4,3,0,3,0,1,6,1,Matches
Tosin Adarabioyo,eng ENG,DF,28-112,7.2,13,6,7,5,1,1,3,33.3,2,5,4,1,6,19,49,1,Matches
Joshua Acheampong,eng ENG,DF,19-254,5.2,6,5,5,1,0,2,5,40.0,3,7,2,5,8,14,16,4,Matches
Andrey Santos,br BRA,MF,21-256,5.8,16,7,5,8,3,9,13,69.2,4,13,4,9,9,25,9,0,Matches
Jamie Gittens,eng ENG,FW,21-159,5.0,8,3,3,4,1,4,6,66.7,2,6,1,5,2,10,4,0,Matches
Benoît Badiashile,fr FRA,DF,24-294,3.7,3,1,1,2,0,1,2,50.0,1,5,3,2,7,10,14,1,Matches
Jorrel Hato,nl NED,DF,19-313,2.9,7,5,2,2,3,3,7,42.9,4,5,2,3,5,12,6,1,Matches
Marc Guiu,es ESP,FW,20-010,2.6,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,3,0,Matches
Filip Jørgensen,dk DEN,GK,23-273,1.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Roméo Lavia,be BEL,MF,22-008,1.2,2,2,0,1,1,0,0,,0,0,0,0,3,5,2,1,Matches
Facundo Buonanotte,ar ARG,MF,21-022,0.5,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Tyrique George,eng ENG,FW,19-344,1.6,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches
Squad Total,,,24.7,21.0,339,208,148,131,60,167,294,56.8,127,193,58,135,211,550,478,16,
Opponent Total,,,27.0,21.0,372,223,178,143,51,190,356,53.4,166,228,89,139,196,568,536,18,
