Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,Matches
Maxence Lacroix,fr FRA,DF,25-283,21.0,42,27,29,13,0,22,28,78.6,6,27,10,17,26,68,158,1,Matches
Tyrick Mitchell,eng ENG,DF,26-135,20.9,63,40,40,17,6,34,48,70.8,14,44,7,37,21,84,72,1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,19.2,8,4,4,2,2,5,13,38.5,8,12,4,8,5,13,35,1,Matches
Marc Guéhi,eng ENG,DF,25-185,20.0,30,19,24,5,1,12,19,63.2,7,18,10,8,25,55,105,1,Matches
Adam Wharton,eng ENG,MF,21-342,17.4,45,28,20,21,4,20,41,48.8,21,13,2,11,19,64,26,0,Matches
Chris Richards,us USA,DF,25-292,16.9,36,23,20,15,1,16,27,59.3,11,21,11,10,27,63,113,3,Matches
Yeremi Pino,es ESP,MF,23-086,15.0,25,15,10,7,8,9,30,30.0,21,19,1,18,6,31,14,0,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14.0,33,19,15,15,3,12,25,48.0,13,19,1,18,16,49,60,0,Matches
Daichi Kamada,jp JPN,MF,29-162,12.9,40,23,13,20,7,10,25,40.0,15,11,1,10,8,48,14,2,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,11.2,9,4,4,2,3,2,6,33.3,4,10,1,9,6,15,19,0,Matches
Will Hughes,eng ENG,MF,30-272,9.7,16,9,3,7,6,12,18,66.7,6,8,5,3,9,25,17,1,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,8.4,10,6,5,3,2,4,12,33.3,8,3,2,1,9,19,26,1,Matches
Nathaniel Clyne,eng ENG,DF,34-284,4.6,12,8,4,4,4,8,11,72.7,3,5,0,5,4,16,17,0,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,5.7,15,8,6,8,1,11,23,47.8,12,9,0,9,0,15,7,0,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,4.7,8,6,1,6,1,2,5,40.0,3,11,1,10,2,10,10,0,Matches
Jaydee Canvot,fr FRA,DF,19-169,3.3,14,7,11,3,0,3,8,37.5,5,7,4,3,3,17,27,1,Matches
Brennan Johnson,wls WAL,MF,24-236,1.8,2,0,0,0,2,2,3,66.7,1,3,0,3,0,2,1,0,Matches
Eberechi Eze,eng ENG,MF,27-199,0.9,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,1.3,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,1,0,Matches
Romain Esse,eng ENG,"FW,MF",20-246,0.5,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,Matches
Borna Sosa,hr CRO,DF,27-358,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Kaden Rodney,eng ENG,MF,21-099,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,27-363,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.8,21.0,415,251,210,153,52,187,349,53.6,162,242,60,182,187,602,735,13,
Opponent Total,,,27.0,21.0,303,167,117,138,48,124,217,57.1,93,228,73,155,179,482,681,14,
