Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Erling Haaland,no NOR,FW,25-177,20.2,11,7,3,6,2,4,6,66.7,2,3,1,2,3,14,30,0,Matches
Rúben Dias,pt POR,DF,28-245,19.0,7,5,3,4,0,6,8,75.0,2,22,15,7,19,26,97,2,Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,3,Matches
Phil Foden,eng ENG,MF,25-231,17.4,21,11,12,7,2,11,21,52.4,10,11,2,9,7,28,13,2,Matches
Matheus Nunes,pt POR,DF,27-140,17.5,41,29,20,15,6,27,40,67.5,13,21,4,17,25,66,65,2,Matches
Bernardo Silva,pt POR,MF,31-157,16.6,20,10,8,10,2,10,23,43.5,13,13,3,10,12,32,21,1,Matches
Nico O’Reilly,eng ENG,DF,20-299,16.4,48,25,17,18,13,25,37,67.6,12,25,5,20,12,60,51,1,Matches
Tijjani Reijnders,nl NED,MF,27-169,14.8,8,4,1,3,4,1,7,14.3,6,8,1,7,8,16,17,1,Matches
Nicolás González,es ESP,MF,24-011,14.8,33,25,9,19,5,14,22,63.6,8,15,6,9,19,52,39,1,Matches
Joško Gvardiol,hr CRO,DF,23-356,14.5,18,13,8,8,2,7,8,87.5,1,17,9,8,13,31,63,2,Matches
Jeremy Doku,be BEL,"MF,FW",23-232,12.1,13,10,4,3,6,4,9,44.4,5,4,0,4,9,22,0,0,Matches
Rayan Cherki,fr FRA,"MF,FW",22-150,9.3,15,10,6,8,1,8,22,36.4,14,5,1,4,5,20,4,0,Matches
Sávio,br BRA,"MF,FW",21-279,6.0,5,2,1,3,1,2,4,50.0,2,6,0,6,5,10,5,0,Matches
Oscar Bobb,no NOR,"MF,FW",22-186,5.2,8,5,3,3,2,4,7,57.1,3,9,0,9,3,11,1,0,Matches
Rodri,es ESP,MF,29-206,5.1,14,6,4,5,5,6,11,54.5,5,2,0,2,4,18,12,1,Matches
Abdukodir Khusanov,uz UZB,DF,21-319,4.2,11,8,7,2,2,3,4,75.0,1,5,0,5,8,19,14,0,Matches
John Stones,eng ENG,DF,31-231,3.9,0,0,0,0,0,0,2,0.0,2,6,4,2,2,2,14,0,Matches
Nathan Aké,nl NED,DF,30-330,4.5,8,5,7,0,1,3,4,75.0,1,3,0,3,4,12,21,1,Matches
James Trafford,eng ENG,GK,23-096,3.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,5,1,Matches
Rayan Aït-Nouri,dz ALG,DF,24-222,2.3,9,6,7,2,0,3,7,42.9,4,5,0,5,5,14,9,0,Matches
Rico Lewis,eng ENG,"DF,MF",21-054,2.5,3,1,2,1,0,1,3,33.3,2,3,1,2,5,8,6,0,Matches
Omar Marmoush,eg EGY,"FW,MF",26-341,2.3,3,3,0,3,0,0,2,0.0,2,3,1,2,2,5,2,0,Matches
Max Alleyne,eng ENG,DF,20-177,1.0,3,3,2,0,1,2,2,100.0,0,0,0,0,4,7,3,0,Matches
Divine Mukasa,eng ENG,MF,18-145,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mateo Kovačić,hr CRO,MF,31-253,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.8,21.0,301,189,126,120,55,143,252,56.7,109,186,53,133,174,475,500,18,
Opponent Total,,,26.6,21.0,415,262,204,151,60,212,441,48.1,229,276,88,188,199,614,464,20,
