Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Luke Shaw,eng ENG,DF,30-186,20.2,44,25,17,24,3,22,32,68.8,10,21,6,15,21,65,51,0,Matches
Bruno Fernandes,pt POR,MF,31-128,17.1,30,17,12,11,7,14,39,35.9,25,16,5,11,10,40,33,0,Matches
Casemiro,br BRA,MF,33-325,14.5,45,25,20,20,5,21,46,45.7,25,35,11,24,13,58,37,1,Matches
Diogo Dalot,pt POR,DF,26-302,15.6,27,16,15,8,4,12,19,63.2,7,10,5,5,13,40,59,2,Matches
Bryan Mbeumo,cm CMR,MF,26-160,15.6,13,5,3,6,4,4,10,40.0,6,11,0,11,4,17,5,1,Matches
Matheus Cunha,br BRA,"MF,FW",26-232,15.2,17,11,4,9,4,8,22,36.4,14,23,1,22,12,29,11,0,Matches
Senne Lammens,be BEL,GK,23-191,15.0,1,1,0,0,1,0,0,,0,0,0,0,0,1,7,0,Matches
Amad Diallo,ci CIV,"DF,MF",23-187,13.4,22,14,6,10,6,10,23,43.5,13,8,1,7,7,29,23,0,Matches
Matthijs de Ligt,nl NED,DF,26-155,13.0,19,13,10,9,0,13,19,68.4,6,14,7,7,15,34,69,1,Matches
Patrick Dorgu,dk DEN,"DF,FW",21-080,12.9,41,27,20,13,8,24,36,66.7,12,20,3,17,13,54,36,0,Matches
Leny Yoro,fr FRA,DF,20-062,12.7,23,13,14,7,2,11,18,61.1,7,10,5,5,16,39,51,2,Matches
Benjamin Šeško,si SVN,FW,22-228,11.6,5,3,1,4,0,2,3,66.7,1,9,2,7,3,8,12,0,Matches
Mason Mount,eng ENG,MF,27-004,9.1,14,8,5,4,5,5,15,33.3,10,7,0,7,3,17,5,0,Matches
Ayden Heaven,eng ENG,DF,19-114,7.1,16,9,12,4,0,11,15,73.3,4,6,6,0,1,17,50,0,Matches
Manuel Ugarte,uy URU,MF,24-278,8.1,38,23,23,9,6,16,30,53.3,14,9,1,8,14,52,16,1,Matches
Altay Bayındır,tr TUR,GK,27-275,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Matches
Noussair Mazraoui,ma MAR,DF,28-061,4.9,13,7,5,6,2,5,7,71.4,2,9,2,7,7,20,26,1,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-237,5.4,7,5,2,1,4,3,4,75.0,1,4,2,2,1,8,9,0,Matches
Lisandro Martínez,ar ARG,DF,27-361,5.1,4,3,3,0,1,1,2,50.0,1,4,3,1,5,9,28,0,Matches
Harry Maguire,eng ENG,DF,32-315,3.8,1,1,0,1,0,1,1,100.0,0,2,1,1,3,4,18,1,Matches
Kobbie Mainoo,eng ENG,MF,20-270,2.6,6,3,1,4,1,1,3,33.3,2,3,0,3,1,7,8,1,Matches
Jack Fletcher,eng ENG,"MF,FW",18-301,1.2,5,2,1,3,1,4,4,100.0,0,1,1,0,1,6,0,0,Matches
Bendito Mantato,eng ENG,FW,17-354,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Shea Lacey,eng ENG,"FW,DF",18-275,0.2,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
Tyler Fredricson,eng ENG,DF,20-325,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Tyrell Malacia,nl NED,DF,26-150,0.0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Squad Total,,,26.3,21.0,393,232,174,155,64,190,351,54.1,161,223,62,161,163,556,563,12,
Opponent Total,,,26.6,21.0,347,199,149,147,51,160,300,53.3,140,274,97,177,197,544,580,21,
