Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,42,30,14,21,7,18,38,47.4,20,14,1,13,11,53,27,0,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,16,12,11,5,0,10,27,37.0,17,28,6,22,19,35,20,1,Matches
Malick Thiaw,de GER,DF,24-159,16.5,22,16,12,8,2,7,12,58.3,5,18,14,4,18,40,110,2,Matches
Nick Woltemade,de GER,FW,23-334,14.0,15,8,0,11,4,7,13,53.8,6,5,1,4,3,18,18,0,Matches
Nick Pope,eng ENG,GK,33-270,14.8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,17,2,Matches
Dan Burn,eng ENG,DF,33-250,13.9,19,13,12,4,3,10,23,43.5,13,12,5,7,15,34,85,1,Matches
Joelinton,br BRA,MF,29-153,13.6,27,13,5,16,6,8,21,38.1,13,12,3,9,15,42,31,2,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,12,7,3,8,1,2,13,15.4,11,11,0,11,1,13,10,1,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,7,5,1,3,3,6,21,28.6,15,19,1,18,1,8,9,0,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,14,10,11,2,1,10,16,62.5,6,17,12,5,18,32,71,3,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,19,14,10,9,0,10,16,62.5,6,9,2,7,6,25,35,0,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,20,14,8,10,2,9,16,56.3,7,12,2,10,17,37,26,2,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,27,17,10,12,5,12,17,70.6,5,16,5,11,16,43,38,1,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,6,3,0,5,1,4,12,33.3,8,7,0,7,1,7,12,1,Matches
Sven Botman,nl NED,DF,26-002,7.8,6,3,3,3,0,2,2,100.0,0,11,8,3,6,12,52,2,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,10,6,5,5,0,8,19,42.1,11,11,1,10,4,14,21,0,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,6,6,3,3,0,4,11,36.4,7,2,0,2,1,7,6,0,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,11,3,5,5,1,1,7,14.3,6,6,0,6,4,15,4,1,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,10,9,5,4,1,6,9,66.7,3,5,1,4,1,11,4,0,Matches
William Osula,dk DEN,FW,22-163,2.4,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
Emil Krafth,se SWE,DF,31-165,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,Matches
Squad Total,,,27.4,21.0,292,191,120,135,37,135,294,45.9,159,218,64,154,157,449,604,19,
Opponent Total,,,26.7,21.0,348,205,166,138,44,168,318,52.8,150,223,81,142,219,567,640,17,
