Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,48,2.31,37,1,3,2,4,1,8,0.39,6,0,2,0,0,0,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,16,0.81,13,0,0,2,0,1,1,0.05,1,0,0,0,0,0,Matches
Matty Cash,pl POL,DF,28-160,19.7,32,1.63,20,10,2,0,0,0,4,0.2,3,1,0,0,0,0,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,51,2.92,37,6,2,3,1,2,3,0.17,2,1,0,0,0,0,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,29,1.67,14,0,5,7,3,0,2,0.12,0,0,1,1,0,0,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,4,0.24,2,2,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,35,2.23,29,0,1,2,2,1,9,0.57,6,0,0,1,1,1,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,30,2.25,19,10,0,1,0,0,6,0.45,4,2,0,0,0,0,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,42,3.33,27,5,1,5,2,2,6,0.48,4,1,0,1,0,0,Matches
Amadou Onana,be BEL,MF,24-151,9.9,14,1.42,14,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Pau Torres,es ESP,DF,28-363,10.6,11,1.04,10,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,30,3.51,25,0,1,2,2,0,3,0.35,2,0,0,0,1,0,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,18,2.33,10,3,2,2,0,1,0,0.0,0,0,0,0,0,0,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,4,0.63,3,0,0,1,0,0,1,0.16,1,0,0,0,0,0,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,10,1.74,6,0,0,2,2,0,2,0.35,0,0,0,2,0,0,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,5,0.91,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Donyell Malen,nl NED,FW,27-005,7.3,21,2.89,13,0,4,3,0,1,3,0.41,2,0,0,1,0,0,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,6,1.22,6,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Marco Bizot,nl NED,GK,34-310,4.5,1,0.22,1,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,15,4.35,13,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,4,3.67,4,0,0,0,0,0,1,0.92,1,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,4,2.98,3,0,0,0,1,0,1,0.74,0,0,0,0,1,0,Matches
Andrés García,es ESP,DF,22-341,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
George Hemmings,eng ENG,MF,18-316,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,21.0,432,20.57,312,38,22,34,17,9,55,2.62,37,5,3,6,3,1,
Opponent Total,,,26.5,21.0,469,22.33,316,41,33,43,16,20,37,1.76,24,4,0,6,1,2,
