Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,4,0.19,3,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
Michael Kayode,it ITA,DF,21-188,20.3,41,2.02,27,9,0,0,3,2,3,0.15,2,1,0,0,0,0,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,15,0.74,13,0,0,0,1,1,2,0.1,2,0,0,0,0,0,Matches
Thiago,br BRA,FW,24-202,19.5,37,1.9,26,0,4,7,0,0,7,0.36,6,0,1,0,0,0,Matches
Kevin Schade,de GER,FW,24-048,18.3,33,1.81,23,1,3,3,3,0,5,0.27,2,1,1,1,0,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,28,1.61,23,0,1,0,1,3,5,0.29,4,0,1,0,0,0,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,7,0.41,4,2,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,37,2.46,32,5,0,0,0,0,4,0.27,4,0,0,0,0,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,48,3.71,31,10,4,1,1,1,8,0.62,7,0,1,0,0,0,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,22,1.86,10,1,3,3,5,0,6,0.51,0,0,1,1,4,0,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,7,0.65,6,0,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,17,1.68,13,1,1,0,2,0,2,0.2,2,0,0,0,0,0,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,24,2.8,17,4,1,2,0,0,4,0.47,3,0,1,0,0,0,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,23,2.7,13,7,0,2,0,1,7,0.82,5,1,0,0,0,1,Matches
Rico Henry,jm JAM,DF,28-190,8.0,9,1.12,5,1,1,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,6,1.05,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,3,2.65,1,1,1,0,0,0,1,0.88,0,1,0,0,0,0,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,1,0.97,1,0,0,0,0,0,1,0.97,1,0,0,0,0,0,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,2,3.27,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,365,17.38,255,44,19,19,19,9,58,2.76,40,5,6,2,4,1,
Opponent Total,,,26.7,21.0,452,21.52,340,30,23,33,16,10,45,2.14,32,1,4,4,3,1,
