Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,2,0.1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,19.8,26,1.31,17,8,0,1,0,0,3,0.15,2,0,0,1,0,0,Matches
Maxime Estève,fr FRA,DF,23-233,17.1,11,0.64,8,0,0,1,1,1,1,0.06,1,0,0,0,0,0,Matches
Josh Cullen,ie IRL,MF,29-282,16.8,32,1.9,25,4,0,2,1,0,5,0.3,5,0,0,0,0,0,Matches
Quilindschy Hartman,nl NED,DF,24-061,14.9,24,1.62,17,5,1,0,0,1,5,0.34,4,1,0,0,0,0,Matches
Florentino Luís,pt POR,MF,26-148,14.6,15,1.03,14,0,0,0,0,1,2,0.14,2,0,0,0,0,0,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,14.3,26,1.82,15,0,1,5,4,1,0,0.0,0,0,0,0,0,0,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,14.0,33,2.36,25,2,4,0,2,0,5,0.36,3,0,1,0,1,0,Matches
Hjalmar Ekdal,se SWE,DF,27-085,12.9,5,0.39,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,11.8,9,0.76,7,0,0,0,1,1,1,0.08,1,0,0,0,0,0,Matches
Lyle Foster,za RSA,FW,25-133,9.8,16,1.63,10,0,0,3,2,1,0,0.0,0,0,0,0,0,0,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-117,9.6,21,2.2,15,4,1,0,0,1,2,0.21,2,0,0,0,0,0,Matches
Loum Tchaouna,fr FRA,"MF,FW",22-128,8.4,14,1.66,9,0,0,4,1,0,3,0.36,1,0,0,2,0,0,Matches
Axel Tuanzebe,cd COD,DF,28-061,7.8,4,0.51,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Zian Flemming,nl NED,FW,27-166,7.4,8,1.08,4,0,0,2,2,0,2,0.27,1,0,0,1,0,0,Matches
Armando Broja,al ALB,FW,24-126,7.1,13,1.84,5,0,3,3,2,0,1,0.14,1,0,0,0,0,0,Matches
Lucas,br BRA,"DF,MF",24-296,5.6,13,2.33,10,2,0,1,0,0,2,0.36,1,1,0,0,0,0,Matches
Hannibal Mejbri,tn TUN,MF,22-358,5.1,14,2.74,8,1,0,1,4,0,2,0.39,1,0,0,1,0,0,Matches
Marcus Edwards,eng ENG,"FW,MF",27-042,4.5,28,6.24,21,2,3,1,1,0,3,0.67,3,0,0,0,0,0,Matches
Bashir Humphreys,eng ENG,DF,22-305,3.9,7,1.81,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Oliver Sonne,pe PER,"DF,FW",25-065,1.9,2,1.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Worrall,eng ENG,DF,29-004,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mike Trésor,be BEL,"MF,FW",26-231,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ashley Barnes,eng ENG,FW,36-076,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaydon Amauri Banel,nl NED,MF,21-087,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,21.0,323,15.38,227,29,13,25,21,8,37,1.76,28,2,1,5,1,0,
Opponent Total,,,26.6,21.0,606,28.86,463,45,28,49,15,6,63,3.0,48,2,5,5,3,0,
