Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21.0,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Maxence Lacroix,fr FRA,DF,25-283,21.0,12,0.57,11,0,0,1,0,0,2,0.1,1,0,0,1,0,0,Matches
Tyrick Mitchell,eng ENG,DF,26-135,20.9,37,1.77,32,1,2,0,1,1,1,0.05,0,0,0,0,0,1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,19.2,26,1.35,16,0,3,6,1,0,2,0.1,1,0,0,0,1,0,Matches
Marc Guéhi,eng ENG,DF,25-185,20.0,30,1.5,24,2,1,2,1,0,6,0.3,4,0,0,1,1,0,Matches
Adam Wharton,eng ENG,MF,21-342,17.4,65,3.75,42,13,2,2,1,5,6,0.35,5,0,0,1,0,0,Matches
Chris Richards,us USA,DF,25-292,16.9,17,1.01,12,3,0,2,0,0,1,0.06,1,0,0,0,0,0,Matches
Yeremi Pino,es ESP,MF,23-086,15.0,60,4.01,39,10,1,8,1,1,5,0.33,2,2,0,1,0,0,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14.0,24,1.72,19,1,0,2,2,0,4,0.29,3,0,0,1,0,0,Matches
Daichi Kamada,jp JPN,MF,29-162,12.9,29,2.24,23,3,0,1,1,1,2,0.15,1,0,0,0,1,0,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,11.2,25,2.23,15,0,2,3,3,2,2,0.18,2,0,0,0,0,0,Matches
Will Hughes,eng ENG,MF,30-272,9.7,29,2.99,19,4,3,2,1,0,1,0.1,1,0,0,0,0,0,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,8.4,19,2.25,12,5,0,1,1,0,3,0.36,2,1,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,34-284,4.6,8,1.72,6,0,2,0,0,0,2,0.43,1,0,1,0,0,0,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,5.7,17,2.98,16,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,4.7,12,2.55,7,0,2,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaydee Canvot,fr FRA,DF,19-169,3.3,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Brennan Johnson,wls WAL,MF,24-236,1.8,3,1.68,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eberechi Eze,eng ENG,MF,27-199,0.9,3,3.25,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,1.3,4,3.05,1,0,0,2,1,0,1,0.76,0,0,0,0,1,0,Matches
Romain Esse,eng ENG,"FW,MF",20-246,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Borna Sosa,hr CRO,DF,27-358,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kaden Rodney,eng ENG,MF,21-099,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,27-363,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,21.0,425,20.24,302,42,19,38,14,10,38,1.81,24,3,1,5,4,1,
Opponent Total,,,27.0,21.0,423,20.14,293,39,23,41,20,7,40,1.9,21,5,4,4,6,0,
