Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,6,0.29,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,20,0.95,19,0,0,1,0,0,2,0.1,1,0,0,1,0,0,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,58,2.77,40,10,3,3,2,0,5,0.24,4,0,1,0,0,0,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,22,1.13,15,5,0,1,1,0,1,0.05,1,0,0,0,0,0,Matches
Michael Keane,eng ENG,DF,33-003,18.6,8,0.43,6,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,26,1.45,19,5,1,0,0,1,3,0.17,3,0,0,0,0,0,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,75,4.39,60,0,7,3,4,1,10,0.59,9,0,1,0,0,0,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,38,2.55,28,0,7,0,1,2,3,0.2,2,0,1,0,0,0,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,43,3.08,26,9,3,1,4,0,5,0.36,3,1,1,0,0,0,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,11,0.9,9,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,19,1.63,16,0,0,0,3,0,2,0.17,2,0,0,0,0,0,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,18,1.74,13,0,1,1,2,1,3,0.29,1,0,0,1,1,0,Matches
Beto,gw GNB,FW,27-348,9.3,12,1.29,7,0,0,4,1,0,2,0.22,1,0,0,1,0,0,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,20,2.71,13,1,2,2,2,0,1,0.14,1,0,0,0,0,0,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,14,2.6,7,3,1,3,0,0,1,0.19,1,0,0,0,0,0,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,15,4.14,8,0,4,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Merlin Röhl,de GER,MF,23-193,3.0,5,1.67,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,2,1.78,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,21.0,412,19.62,295,36,30,23,22,6,38,1.81,29,1,4,3,1,0,
Opponent Total,,,26.4,21.0,495,23.57,368,36,30,35,13,13,44,2.1,31,4,4,4,0,1,
