Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21.0,18,0.86,17,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
Ibrahima Konaté,fr FRA,DF,26-234,19.8,13,0.66,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,19.9,84,4.22,55,22,1,2,2,2,8,0.4,7,0,0,0,0,1,Matches
Ryan Gravenberch,nl NED,MF,23-243,18.7,53,2.84,43,0,2,3,3,2,5,0.27,5,0,0,0,0,0,Matches
Milos Kerkez,hu HUN,DF,22-068,15.7,23,1.46,21,2,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,27-021,15.4,40,2.59,25,5,3,4,3,0,3,0.19,3,0,0,0,0,0,Matches
Alisson,br BRA,GK,33-104,16.0,3,0.19,3,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,15.6,65,4.16,57,3,3,1,1,0,3,0.19,3,0,0,0,0,0,Matches
Cody Gakpo,nl NED,FW,26-252,14.9,56,3.75,40,3,6,3,4,0,5,0.33,4,0,0,1,0,0,Matches
Hugo Ekitike,fr FRA,FW,23-208,12.6,33,2.62,17,0,7,8,0,1,7,0.56,3,0,3,1,0,0,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,13.1,53,4.03,41,4,4,3,0,1,6,0.46,4,1,0,1,0,0,Matches
Conor Bradley,nir NIR,DF,22-189,10.3,12,1.16,8,0,1,1,2,0,2,0.19,2,0,0,0,0,0,Matches
Curtis Jones,eng ENG,MF,24-349,10.8,33,3.06,28,1,0,1,2,1,3,0.28,2,0,0,0,1,0,Matches
Alexander Isak,se SWE,FW,26-115,5.6,5,0.89,3,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,3,0.6,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andrew Robertson,sct SCO,DF,31-309,5.4,20,3.69,17,1,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Jeremie Frimpong,nl NED,"FW,DF",25-035,4.4,12,2.74,8,0,3,1,0,0,3,0.69,2,0,1,0,0,0,Matches
Joe Gomez,eng ENG,DF,28-236,2.8,9,3.23,6,0,1,2,0,0,2,0.72,2,0,0,0,0,0,Matches
Federico Chiesa,it ITA,"FW,MF",28-081,2.7,10,3.75,6,0,1,3,0,0,2,0.75,1,0,0,1,0,0,Matches
Rio Ngumoha,eng ENG,"FW,MF",17-138,0.6,5,8.49,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wataru Endo,jp JPN,"MF,DF",32-339,0.5,2,3.83,2,0,0,0,0,0,1,1.91,1,0,0,0,0,0,Matches
Trey Nyoni,eng ENG,FW,18-198,0.0,1,45.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,21.0,553,26.33,419,41,34,34,17,8,53,2.52,42,1,4,4,1,1,
Opponent Total,,,26.8,21.0,391,18.62,286,32,19,25,23,6,49,2.33,36,2,2,4,4,1,
