Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Luke Shaw,eng ENG,DF,30-186,20.2,32,1.59,25,3,1,1,0,2,3,0.15,1,0,0,1,0,1,Matches
Bruno Fernandes,pt POR,MF,31-128,17.1,114,6.68,78,24,2,7,2,1,11,0.64,6,5,0,0,0,0,Matches
Casemiro,br BRA,MF,33-325,14.5,41,2.84,34,0,0,5,1,1,6,0.42,4,0,0,2,0,0,Matches
Diogo Dalot,pt POR,DF,26-302,15.6,42,2.69,32,3,1,2,3,1,7,0.45,3,1,1,0,2,0,Matches
Bryan Mbeumo,cm CMR,MF,26-160,15.6,54,3.46,30,12,1,8,3,0,2,0.13,1,0,0,1,0,0,Matches
Matheus Cunha,br BRA,"MF,FW",26-232,15.2,62,4.06,42,0,7,10,2,1,6,0.39,4,0,0,2,0,0,Matches
Senne Lammens,be BEL,GK,23-191,15.0,2,0.13,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Amad Diallo,ci CIV,"DF,MF",23-187,13.4,64,4.79,45,3,6,6,3,1,8,0.6,6,0,0,1,1,0,Matches
Matthijs de Ligt,nl NED,DF,26-155,13.0,6,0.46,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Dorgu,dk DEN,"DF,FW",21-080,12.9,45,3.48,37,0,2,3,2,1,4,0.31,2,0,0,1,0,1,Matches
Leny Yoro,fr FRA,DF,20-062,12.7,15,1.18,14,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Benjamin Šeško,si SVN,FW,22-228,11.6,18,1.56,12,0,1,4,0,1,3,0.26,2,0,0,1,0,0,Matches
Mason Mount,eng ENG,MF,27-004,9.1,25,2.76,20,1,0,1,3,0,0,0.0,0,0,0,0,0,0,Matches
Ayden Heaven,eng ENG,DF,19-114,7.1,7,0.99,7,0,0,0,0,0,2,0.28,2,0,0,0,0,0,Matches
Manuel Ugarte,uy URU,MF,24-278,8.1,15,1.86,12,0,1,0,0,2,1,0.12,1,0,0,0,0,0,Matches
Altay Bayındır,tr TUR,GK,27-275,6.0,3,0.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Noussair Mazraoui,ma MAR,DF,28-061,4.9,11,2.24,10,0,0,0,1,0,2,0.41,2,0,0,0,0,0,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-237,5.4,19,3.5,14,0,1,3,0,1,2,0.37,1,0,1,0,0,0,Matches
Lisandro Martínez,ar ARG,DF,27-361,5.1,12,2.36,9,2,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,32-315,3.8,4,1.04,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Kobbie Mainoo,eng ENG,MF,20-270,2.6,12,4.54,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jack Fletcher,eng ENG,"MF,FW",18-301,1.2,4,3.33,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bendito Mantato,eng ENG,FW,17-354,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Shea Lacey,eng ENG,"FW,DF",18-275,0.2,2,12.86,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyler Fredricson,eng ENG,DF,20-325,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyrell Malacia,nl NED,DF,26-150,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,21.0,610,29.05,449,49,24,55,20,13,57,2.71,35,6,2,9,3,2,
Opponent Total,,,26.6,21.0,402,19.14,279,47,27,27,15,7,51,2.43,35,2,4,6,3,1,
