Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,71,3.66,54,4,3,3,5,2,10,0.51,5,0,1,1,2,1,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,38,2.39,23,9,0,3,3,0,3,0.19,2,0,0,0,1,0,Matches
Malick Thiaw,de GER,DF,24-159,16.5,9,0.54,7,0,0,2,0,0,1,0.06,1,0,0,0,0,0,Matches
Nick Woltemade,de GER,FW,23-334,14.0,21,1.5,14,0,3,4,0,0,1,0.07,1,0,0,0,0,0,Matches
Nick Pope,eng ENG,GK,33-270,14.8,2,0.13,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dan Burn,eng ENG,DF,33-250,13.9,13,0.93,11,0,0,1,1,0,3,0.22,2,0,0,0,1,0,Matches
Joelinton,br BRA,MF,29-153,13.6,33,2.42,26,0,1,3,1,2,1,0.07,1,0,0,0,0,0,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,41,3.7,30,1,6,2,2,0,7,0.63,5,0,1,1,0,0,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,43,3.84,34,0,5,4,0,0,4,0.36,4,0,0,0,0,0,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,11,0.91,7,1,0,2,0,1,1,0.08,1,0,0,0,0,0,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,25,2.14,22,1,1,1,0,0,3,0.26,2,0,0,1,0,0,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,21,1.85,20,1,0,0,0,0,5,0.44,4,1,0,0,0,0,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,36,3.44,21,4,4,4,2,1,3,0.29,1,1,0,1,0,0,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,35,3.31,24,0,6,5,0,0,6,0.57,3,0,2,1,0,0,Matches
Sven Botman,nl NED,DF,26-002,7.8,4,0.51,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,28,3.6,15,13,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,17,2.23,13,0,0,2,1,1,2,0.26,1,0,0,1,0,0,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,4,0.65,3,1,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,18,3.17,17,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,5,1.83,4,0,0,1,0,0,1,0.37,0,0,0,1,0,0,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,4,1.49,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
William Osula,dk DEN,FW,22-163,2.4,3,1.23,1,0,1,1,0,0,1,0.41,0,0,0,1,0,0,Matches
Emil Krafth,se SWE,DF,31-165,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,21.0,482,22.95,353,37,30,39,16,7,53,2.52,34,2,4,8,4,1,
Opponent Total,,,26.7,21.0,392,18.67,286,30,26,25,14,11,38,1.81,26,2,1,7,2,0,
