Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,81,3.86,54,15,3,3,5,1,5,0.24,4,1,0,0,0,0,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,15,0.71,14,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,24-276,21.0,46,2.19,30,2,4,5,4,1,3,0.14,1,0,1,0,1,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,60,3.03,48,2,3,5,2,0,4,0.2,3,0,0,0,1,0,Matches
Matz Sels,be BEL,GK,33-322,16.1,3,0.19,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Murillo,br BRA,DF,23-194,14.2,17,1.2,14,1,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,24,2.16,17,1,2,4,0,0,3,0.27,2,0,1,0,0,0,Matches
Igor Jesus,br BRA,FW,24-323,12.8,22,1.72,12,0,0,9,1,0,3,0.23,2,0,0,1,0,0,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,50,4.02,41,1,4,1,1,2,3,0.24,2,0,1,0,0,0,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,12,1.05,10,1,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,7,0.73,5,0,0,1,0,1,3,0.31,2,0,0,0,0,1,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,38,3.87,24,1,9,2,1,1,5,0.51,2,0,1,1,1,0,Matches
Morato,br BRA,DF,24-198,7.9,3,0.38,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,17,2.7,12,2,1,1,0,1,1,0.16,1,0,0,0,0,0,Matches
Chris Wood,nz NZL,FW,34-038,6.0,8,1.34,6,0,1,1,0,0,1,0.17,0,0,1,0,0,0,Matches
John,br BRA,GK,29-335,4.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ola Aina,ng NGA,DF,29-098,4.8,5,1.05,3,1,0,0,0,1,1,0.21,1,0,0,0,0,0,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,11,3.13,9,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,14,3.57,12,0,0,1,0,1,1,0.25,1,0,0,0,0,0,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,11,3.27,8,1,2,0,0,0,1,0.3,1,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,5,1.47,5,0,0,0,0,0,2,0.59,2,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,2,0.96,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,4,2.06,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jair Cunha,br BRA,DF,20-313,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,2,1.87,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jota Silva,pt POR,FW,26-166,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.2,21.0,457,21.76,337,30,29,36,14,11,38,1.81,26,1,5,2,3,1,
Opponent Total,,,26.6,21.0,469,22.33,340,43,30,33,16,7,51,2.43,34,5,2,5,4,1,
