Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,57,2.71,32,1,9,11,2,2,3,0.14,2,0,0,1,0,0,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,39,2.32,30,4,1,4,0,0,2,0.12,1,0,0,1,0,0,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,39,2.35,30,2,2,1,2,2,1,0.06,1,0,0,0,0,0,Matches
Max Kilman,eng ENG,DF,28-236,17.0,7,0.41,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,2,0.12,1,1,0,0,0,0,1,0.06,0,1,0,0,0,0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,19,1.23,12,4,2,1,0,0,4,0.26,3,1,0,0,0,0,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,6,0.43,6,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,34,2.69,21,1,6,2,3,1,5,0.4,3,0,0,1,1,0,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,4,0.33,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,20,1.78,16,2,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,17,1.58,7,7,0,2,1,0,1,0.09,0,0,0,1,0,0,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,16,1.5,13,0,1,1,1,0,2,0.19,2,0,0,0,0,0,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,11,1.34,9,0,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,14,1.55,6,0,4,3,1,0,2,0.22,1,0,0,1,0,0,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,11,1.36,9,0,0,2,0,0,3,0.37,1,0,0,2,0,0,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,10,1.94,5,2,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,19,4.14,8,9,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,6,1.32,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,2,1.08,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Andy Irving,sct SCO,MF,25-246,1.8,3,1.7,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,1,0.72,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor,br BRA,DF,27-341,1.2,1,0.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,3,3.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,4,3.1,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo,br BRA,MF,22-012,0.3,3,9.64,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
George Earthy,eng ENG,FW,21-131,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,21.0,351,16.71,238,35,27,29,11,11,25,1.19,15,2,0,7,1,0,
Opponent Total,,,26.7,21.0,556,26.48,429,42,19,41,19,6,72,3.43,52,5,2,8,5,0,
