Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,1,0,0,1,5,0,0,1,0,0,1,0,28,2,1,66.7,Matches
Michael Kayode,it ITA,DF,21-188,20.3,5,0,0,14,25,0,36,25,28,0,1,0,96,26,10,72.2,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,4,0,0,13,15,1,1,25,10,1,1,1,87,57,44,56.4,Matches
Thiago,br BRA,FW,24-202,19.5,4,0,0,36,14,14,6,4,9,0,0,0,42,52,86,37.7,Matches
Kevin Schade,de GER,FW,24-048,18.3,5,0,0,30,26,8,11,14,14,1,0,0,61,56,45,55.4,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,4,0,0,25,5,1,14,15,29,0,0,0,110,11,14,44.0,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,1,0,0,9,5,0,0,13,5,0,0,0,56,71,36,66.4,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,4,0,0,10,6,1,40,11,8,0,0,0,68,4,10,28.6,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,0,0,0,10,13,3,74,13,19,0,0,0,71,8,18,30.8,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,3,0,0,17,22,4,42,11,6,4,0,0,46,32,27,54.2,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,1,0,0,11,5,0,3,13,14,0,1,0,26,35,28,55.6,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,1,0,0,8,17,3,30,5,7,0,0,0,36,4,8,33.3,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,1,0,0,6,3,2,44,3,11,0,0,0,35,4,11,26.7,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,3,0,0,9,6,0,29,18,12,0,0,0,50,16,8,66.7,Matches
Rico Henry,jm JAM,DF,28-190,8.0,2,0,0,12,10,0,16,4,7,0,1,0,45,11,9,55.0,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,1,0,0,6,4,0,4,7,5,0,0,0,28,9,7,56.3,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,1,0,0,0,2,0,0,4,3,0,0,1,9,5,7,41.7,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,0,0,0,0,0,0,5,0,2,0,0,0,5,1,3,25.0,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,0,0,0,3,3,0,0,0,0,0,0,0,5,1,1,50.0,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,0,0,0,0,2,0,1,0,1,0,0,0,12,0,0,,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.7,21.0,41,0,0,221,188,37,356,186,191,6,5,2,918,407,374,52.1,
Opponent Total,,,26.7,21.0,38,1,1,196,217,21,403,156,224,5,7,1,870,374,407,47.9,
