Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21.0,2,0,0,1,4,0,0,1,0,0,1,0,27,7,2,77.8,Matches
Maxence Lacroix,fr FRA,DF,25-283,21.0,3,0,0,16,11,0,4,26,27,0,1,0,58,56,40,58.3,Matches
Tyrick Mitchell,eng ENG,DF,26-135,20.9,4,0,0,14,15,4,60,21,40,0,0,0,106,13,24,35.1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,19.2,2,0,0,15,11,13,5,5,4,1,0,0,49,48,78,38.1,Matches
Marc Guéhi,eng ENG,DF,25-185,20.0,4,0,0,14,18,0,10,25,19,1,0,0,88,53,28,65.4,Matches
Adam Wharton,eng ENG,MF,21-342,17.4,2,0,0,14,19,0,54,19,28,0,0,0,97,15,17,46.9,Matches
Chris Richards,us USA,DF,25-292,16.9,0,0,0,9,3,0,5,27,23,0,0,0,26,53,42,55.8,Matches
Yeremi Pino,es ESP,MF,23-086,15.0,3,0,0,21,18,8,49,6,15,0,0,0,63,17,24,41.5,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14.0,4,0,0,17,10,5,32,16,19,0,0,0,54,29,28,50.9,Matches
Daichi Kamada,jp JPN,MF,29-162,12.9,1,0,0,19,17,1,25,8,23,1,0,0,64,10,9,52.6,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,11.2,1,0,0,7,16,5,7,6,4,0,0,0,38,12,27,30.8,Matches
Will Hughes,eng ENG,MF,30-272,9.7,4,0,0,10,11,0,19,9,9,0,0,0,34,9,12,42.9,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,8.4,4,0,0,12,9,0,8,9,6,0,0,0,45,26,18,59.1,Matches
Nathaniel Clyne,eng ENG,DF,34-284,4.6,0,0,0,1,1,0,11,4,8,0,0,0,15,1,4,20.0,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,5.7,0,0,0,8,6,1,9,0,8,0,0,0,22,3,15,16.7,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,4.7,2,0,0,7,7,3,1,2,6,0,0,0,17,8,22,26.7,Matches
Jaydee Canvot,fr FRA,DF,19-169,3.3,0,0,0,5,1,0,0,3,7,0,0,0,12,7,4,63.6,Matches
Brennan Johnson,wls WAL,MF,24-236,1.8,2,0,0,5,1,1,4,0,0,0,0,0,8,0,1,0.0,Matches
Eberechi Eze,eng ENG,MF,27-199,0.9,0,0,0,2,1,0,4,0,1,0,0,0,5,0,1,0.0,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,1.3,0,0,0,2,4,2,4,0,1,1,0,0,6,5,9,35.7,Matches
Romain Esse,eng ENG,"FW,MF",20-246,0.5,0,0,0,2,2,0,2,0,1,0,0,0,2,1,3,25.0,Matches
Borna Sosa,hr CRO,DF,27-358,0.3,0,0,0,3,0,0,3,0,0,0,0,0,1,1,1,50.0,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,0.1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,Matches
Kaden Rodney,eng ENG,MF,21-099,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Odsonne Édouard,fr FRA,FW,27-363,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0.0,Matches
Squad Total,,,26.8,21.0,38,0,0,206,186,43,316,187,251,4,2,0,839,374,412,47.6,
Opponent Total,,,27.0,21.0,40,0,0,192,189,33,414,179,167,2,4,1,900,412,374,52.4,
