Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,0,0,0,0,3,0,0,0,1,0,0,0,41,3,2,60.0,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,4,0,0,17,17,2,5,21,17,0,1,0,50,91,39,70.0,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,4,0,0,16,22,0,105,28,35,0,0,0,100,14,8,63.6,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,1,0,0,11,7,2,36,8,16,0,1,0,63,64,30,68.1,Matches
Michael Keane,eng ENG,DF,33-003,18.6,0,1,0,10,5,0,1,21,14,0,0,0,55,70,42,62.5,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,4,0,0,15,11,0,50,17,13,0,0,0,63,26,25,51.0,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,5,1,1,11,52,0,39,12,14,0,0,0,81,4,19,17.4,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,2,0,0,17,20,5,26,6,23,0,0,0,95,5,10,33.3,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,5,0,0,19,27,0,63,8,11,0,1,0,55,11,12,47.8,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,2,0,0,25,5,8,1,2,1,0,0,0,15,71,91,43.8,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,0,1,0,10,14,0,8,13,16,0,0,0,56,8,5,61.5,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,7,0,0,16,16,0,2,15,30,1,0,0,54,10,12,45.5,Matches
Beto,gw GNB,FW,27-348,9.3,1,0,0,18,7,5,2,0,2,0,0,0,15,56,60,48.3,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,3,0,0,8,10,1,5,3,7,0,0,0,38,12,16,42.9,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,0,0,0,7,1,1,23,2,6,0,0,0,23,4,7,36.4,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,2,0,0,9,10,0,7,6,3,0,0,0,21,0,4,0.0,Matches
Merlin Röhl,de GER,MF,23-193,3.0,0,0,0,7,1,0,4,1,7,0,0,0,14,12,11,52.2,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,0,0,0,0,2,0,0,2,1,0,0,0,6,2,2,50.0,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0,100.0,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,,,28.0,21.0,40,3,1,216,231,24,379,166,219,1,3,0,848,466,395,54.1,
Opponent Total,,,26.4,21.0,37,0,0,241,203,28,397,151,218,0,1,1,870,395,466,45.9,
