Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,522,739,70.6,13837,9982,114,114,100.0,269,274,98.2,137,348,39.4,0,0.1,0.1,-0.1,2,38,1,0,5,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,1139,1283,88.8,18943,4651,506,549,92.2,560,607,92.3,54,85,63.5,1,1.1,1.5,-0.1,15,109,15,1,118,Matches
Declan Rice,eng ENG,MF,27-000,18.8,1130,1346,84.0,20141,5440,482,525,91.8,524,587,89.3,104,197,52.8,3,3.5,3.6,-0.5,33,108,27,7,134,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,745,889,83.8,11864,3493,347,395,87.8,374,423,88.4,17,40,42.5,3,1.1,0.9,1.9,18,87,18,1,105,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,426,581,73.3,6634,1697,249,288,86.5,137,176,77.8,30,75,40.0,3,4.9,4.3,-1.9,37,10,32,9,39,Matches
William Saliba,fr FRA,DF,24-296,15.0,1100,1182,93.1,19262,5408,440,455,96.7,593,621,95.5,58,85,68.2,0,0.2,0.6,-0.2,2,63,3,1,62,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,99,163,60.7,1283,286,64,91,70.3,23,38,60.5,4,6,66.7,0,1.2,0.9,-1.2,11,8,7,0,17,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,558,692,80.6,8844,2085,291,325,89.5,225,271,83.0,27,57,47.4,2,0.5,0.4,1.5,4,42,7,3,48,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,796,900,88.4,14549,4155,295,316,93.4,433,464,93.3,56,97,57.7,2,1.4,0.8,0.6,4,58,1,0,58,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,332,464,71.6,6045,1733,140,181,77.3,155,192,80.7,32,57,56.1,4,2.2,2.0,1.8,21,25,24,3,50,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,279,331,84.3,4384,792,139,157,88.5,123,138,89.1,12,21,57.1,2,1.2,1.4,0.8,8,19,9,1,42,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,472,569,83.0,8196,2226,213,233,91.4,216,254,85.0,36,57,63.2,3,2.4,2.1,0.6,26,60,33,2,102,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,252,337,74.8,3503,1010,165,197,83.8,65,86,75.6,14,29,48.3,3,1.4,0.9,1.6,11,32,11,0,38,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,506,570,88.8,8708,2525,208,222,93.7,267,282,94.7,25,50,50.0,0,0.7,0.7,-0.7,4,39,2,1,26,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,125,203,61.6,1858,499,67,92,72.8,44,67,65.7,8,18,44.4,0,1.4,1.4,-1.4,11,3,11,2,16,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,85,128,66.4,1456,268,40,50,80.0,36,49,73.5,7,13,53.8,0,0.3,0.2,-0.3,4,3,4,0,15,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,296,326,90.8,4987,1378,121,127,95.3,153,166,92.2,15,23,65.2,0,0.1,0.4,-0.1,1,22,1,0,15,Matches
Ben White,eng ENG,DF,28-098,3.2,128,162,79.0,1992,717,71,81,87.7,48,57,84.2,7,16,43.8,1,0.8,0.4,0.2,5,19,1,1,21,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,165,192,85.9,2735,453,75,78,96.2,83,97,85.6,6,9,66.7,0,0.1,0.1,-0.1,3,10,1,0,7,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,79,89,88.8,1470,376,30,32,93.8,41,43,95.3,7,12,58.3,0,0.0,0.1,0.0,1,9,2,0,14,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,25,36,69.4,295,81,16,21,76.2,5,11,45.5,1,1,100.0,0,0.0,0.0,0.0,0,3,1,0,3,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,16,18,88.9,237,38,10,10,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Kai Havertz,de GER,FW,26-217,0.3,5,9,55.6,79,33,4,7,57.1,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Max Dowman,eng ENG,FW,16-014,0.3,4,4,100.0,66,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.5,21.0,9284,11213,82.8,161368,49326,4089,4548,89.9,4382,4914,89.2,658,1297,50.7,27,23.9,22.9,3.1,221,767,211,32,938,
Opponent Total,,,26.8,21.0,6318,8166,77.4,113252,41764,2816,3178,88.6,2667,3140,84.9,644,1412,45.6,8,9.5,8.4,-1.5,122,483,99,20,521,
