Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,565,808,69.9,16077,11307,86,87,98.9,305,310,98.4,172,406,42.4,0,0.1,0.0,-0.1,2,14,0,0,1,Matches
Michael Kayode,it ITA,DF,21-188,20.3,686,901,76.1,11386,3397,352,384,91.7,264,328,80.5,59,154,38.3,0,2.1,2.0,-2.1,21,26,14,9,41,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,836,1027,81.4,16396,6295,258,298,86.6,484,528,91.7,88,181,48.6,2,1.7,0.8,0.3,8,47,5,1,55,Matches
Thiago,br BRA,FW,24-202,19.5,243,345,70.4,3360,732,154,193,79.8,61,95,64.2,14,21,66.7,1,3.0,0.8,-2.0,11,18,8,2,20,Matches
Kevin Schade,de GER,FW,24-048,18.3,214,325,65.8,3052,1054,126,169,74.6,65,96,67.7,10,22,45.5,3,2.6,1.4,0.4,21,17,13,2,31,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,619,761,81.3,10359,2628,326,364,89.6,216,252,85.7,61,104,58.7,2,1.3,1.0,0.7,11,54,11,4,68,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,674,758,88.9,12694,4043,209,235,88.9,390,419,93.1,62,82,75.6,0,0.5,0.2,-0.5,2,34,2,0,35,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,665,861,77.2,12649,4041,271,303,89.4,292,355,82.3,86,171,50.3,3,1.9,2.2,1.1,14,83,18,8,82,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,376,553,68.0,6030,2464,196,241,81.3,122,166,73.5,37,93,39.8,3,3.6,3.3,-0.6,24,44,24,6,65,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,131,265,49.4,1874,647,75,113,66.4,35,80,43.8,11,38,28.9,0,1.1,0.7,-1.1,6,13,3,0,18,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,284,370,76.8,4913,1850,125,152,82.2,131,155,84.5,22,48,45.8,1,0.7,0.5,0.3,2,17,3,0,27,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,200,273,73.3,3248,1252,102,110,92.7,70,95,73.7,23,52,44.2,1,1.2,0.9,-0.2,10,14,10,3,28,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,306,409,74.8,5620,2054,149,170,87.6,107,136,78.7,43,82,52.4,0,0.7,1.8,-0.7,7,46,10,1,50,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,389,470,82.8,6585,2320,191,213,89.7,151,166,91.0,40,72,55.6,4,2.4,1.5,1.6,10,27,6,2,39,Matches
Rico Henry,jm JAM,DF,28-190,8.0,226,320,70.6,3391,1047,130,152,85.5,83,118,70.3,9,33,27.3,0,0.1,0.2,-0.1,1,12,6,0,20,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,211,260,81.2,3352,942,103,111,92.8,90,109,82.6,12,26,46.2,0,0.0,0.1,0.0,0,12,3,0,14,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,81,102,79.4,1514,635,29,34,85.3,43,47,91.5,6,15,40.0,0,0.0,0.1,0.0,0,6,1,0,4,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,21,31,67.7,339,105,12,15,80.0,3,5,60.0,5,8,62.5,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,8,11,72.7,116,49,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,28,36,77.8,384,160,18,19,94.7,9,12,75.0,1,2,50.0,1,0.1,0.4,0.9,1,7,0,0,4,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,28,29,96.6,392,84,17,17,100.0,11,12,91.7,0,0,,0,0.0,0.1,0.0,0,2,3,0,5,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,6791,8915,76.2,123731,47106,2933,3386,86.6,2936,3489,84.2,761,1610,47.3,21,22.7,18.0,-1.7,151,495,141,38,612,
Opponent Total,,,26.7,21.0,8200,10383,79.0,140261,49303,3993,4469,89.3,3284,3883,84.6,734,1542,47.6,16,16.6,15.7,-0.6,178,644,168,49,764,
