Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,746,924,80.7,16644,10263,238,240,99.2,349,352,99.1,155,327,47.4,0,0.1,0.0,-0.1,1,14,1,0,0,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20.0,1270,1459,87.0,24416,9493,470,506,92.9,654,712,91.9,134,207,64.7,1,0.2,0.7,0.8,4,147,6,4,131,Matches
Lewis Dunk,eng ENG,DF,34-054,19.5,1488,1613,92.3,25789,8084,626,644,97.2,755,792,95.3,80,134,59.7,0,0.1,0.3,-0.1,3,81,1,1,69,Matches
Yankuba Minteh,gm GAM,FW,21-176,17.1,278,476,58.4,4209,1359,154,207,74.4,87,150,58.0,23,64,35.9,4,4.5,2.8,-0.5,28,19,19,9,25,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,17.8,670,840,79.8,10855,3190,326,353,92.4,288,347,83.0,42,94,44.7,0,1.2,2.1,-1.2,11,57,20,10,79,Matches
Yasin Ayari,se SWE,MF,22-100,16.9,676,805,84.0,11326,2556,335,367,91.3,277,310,89.4,52,90,57.8,1,0.9,0.9,0.1,11,35,9,1,52,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,14.9,227,327,69.4,3629,1349,116,152,76.3,77,98,78.6,22,38,57.9,2,2.7,2.0,-0.7,18,42,17,2,67,Matches
Diego Gómez,py PAR,"MF,FW",22-293,14.1,360,464,77.6,5785,1213,177,214,82.7,151,178,84.8,19,33,57.6,0,1.5,1.1,-1.5,16,31,9,4,29,Matches
Carlos Baleba,cm CMR,MF,22-011,10.0,319,374,85.3,5025,1071,173,185,93.5,106,125,84.8,26,41,63.4,0,0.1,0.2,-0.1,3,25,2,0,24,Matches
Mats Wieffer,nl NED,DF,26-059,13.1,596,709,84.1,10004,2925,304,333,91.3,232,272,85.3,50,69,72.5,3,3.1,1.5,-0.1,17,48,6,1,72,Matches
