Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,19.3,1262,1379,91.5,21807,5662,532,551,96.6,662,695,95.3,60,109,55.0,0,0.1,0.7,-0.1,3,78,4,1,54,Matches
Robert Sánchez,es ESP,GK,28-057,19.0,553,816,67.8,14581,10650,123,125,98.4,271,276,98.2,153,405,37.8,1,0.8,0.0,0.2,5,17,0,0,0,Matches
Enzo Fernández,ar ARG,MF,24-362,18.9,875,1061,82.5,14848,4221,426,470,90.6,354,405,87.4,78,136,57.4,1,4.9,3.9,-3.9,33,109,39,2,144,Matches
Pedro Neto,pt POR,FW,25-311,18.2,520,704,73.9,8196,2111,285,323,88.2,181,239,75.7,37,95,38.9,3,4.0,4.0,-1.0,33,22,26,8,55,Matches
Marc Cucurella,es ESP,DF,27-176,16.9,854,978,87.3,13719,4210,430,461,93.3,370,415,89.2,40,72,55.6,2,1.7,2.0,0.3,21,78,10,2,78,Matches
João Pedro,br BRA,"FW,MF",24-110,16.9,344,451,76.3,4570,985,219,251,87.3,91,128,71.1,14,24,58.3,3,2.8,1.4,0.2,21,33,18,0,58,Matches
Moisés Caicedo,ec ECU,MF,24-073,14.9,822,906,90.7,13240,3708,423,438,96.6,346,374,92.5,41,58,70.7,1,1.1,1.0,-0.1,9,81,7,1,91,Matches
Reece James,eng ENG,"DF,MF",26-037,15.2,896,1069,83.8,15333,4662,429,456,94.1,381,432,88.2,71,142,50.0,4,3.2,2.1,0.8,20,80,13,4,84,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,13.6,644,762,84.5,10601,2896,312,349,89.4,276,313,88.2,44,63,69.8,2,1.2,0.8,0.8,11,52,13,2,68,Matches
Alejandro Garnacho,ar ARG,FW,21-197,8.5,221,282,78.4,3295,472,132,146,90.4,71,92,77.2,12,23,52.2,3,3.1,2.5,-0.1,16,3,12,6,13,Matches
Wesley Fofana,fr FRA,DF,25-028,8.4,471,519,90.8,8088,2486,197,206,95.6,252,267,94.4,18,39,46.2,0,0.0,0.1,0.0,0,32,1,0,27,Matches
Cole Palmer,eng ENG,"MF,FW",23-253,7.4,230,302,76.2,3949,900,101,118,85.6,102,122,83.6,21,35,60.0,0,0.2,0.4,-0.2,7,28,7,0,41,Matches
Estêvão Willian,br BRA,FW,18-265,6.8,176,222,79.3,2703,636,97,115,84.3,72,82,87.8,5,12,41.7,1,2.0,2.1,-1.0,13,9,9,3,17,Matches
Liam Delap,eng ENG,FW,22-340,6.4,72,102,70.6,887,142,45,61,73.8,20,27,74.1,2,3,66.7,0,0.1,0.2,-0.1,2,1,3,0,7,Matches
Tosin Adarabioyo,eng ENG,DF,28-112,7.2,586,648,90.4,10590,4048,202,211,95.7,352,374,94.1,29,51,56.9,0,0.7,0.4,-0.7,1,25,2,0,21,Matches
Joshua Acheampong,eng ENG,DF,19-254,5.2,321,354,90.7,5337,1299,149,161,92.5,158,164,96.3,10,21,47.6,0,0.1,0.1,-0.1,1,11,1,1,13,Matches
Andrey Santos,br BRA,MF,21-256,5.8,249,292,85.3,3555,1090,147,167,88.0,85,93,91.4,7,11,63.6,0,0.2,0.5,-0.2,6,25,3,0,29,Matches
Jamie Gittens,eng ENG,FW,21-159,5.0,112,149,75.2,1676,309,67,80,83.8,41,48,85.4,3,8,37.5,2,0.7,0.9,1.3,9,2,6,1,8,Matches
Benoît Badiashile,fr FRA,DF,24-294,3.7,258,275,93.8,4836,1356,82,85,96.5,159,162,98.1,16,25,64.0,0,0.0,0.0,0.0,0,19,1,0,18,Matches
Jorrel Hato,nl NED,DF,19-313,2.9,138,160,86.3,2087,547,66,76,86.8,66,69,95.7,3,8,37.5,0,0.2,0.1,-0.2,2,6,1,1,5,Matches
Marc Guiu,es ESP,FW,20-010,2.6,17,25,68.0,200,40,14,20,70.0,3,3,100.0,0,1,0.0,1,1.0,0.3,0.0,3,3,0,0,2,Matches
Filip Jørgensen,dk DEN,GK,23-273,1.9,77,94,81.9,1873,1070,21,22,95.5,35,35,100.0,21,36,58.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Roméo Lavia,be BEL,MF,22-008,1.2,63,68,92.6,1192,295,24,25,96.0,27,28,96.4,10,12,83.3,0,0.0,0.0,0.0,0,6,0,0,9,Matches
Facundo Buonanotte,ar ARG,MF,21-022,0.5,20,22,90.9,251,29,15,16,93.8,3,4,75.0,1,1,100.0,0,0.3,0.1,-0.3,2,2,0,0,0,Matches
Tyrique George,eng ENG,FW,19-344,1.6,21,24,87.5,365,83,9,10,90.0,10,11,90.9,2,2,100.0,0,0.0,0.1,0.0,0,3,2,1,4,Matches
Squad Total,,,24.7,21.0,9802,11664,84.0,167779,53907,4547,4943,92.0,4388,4858,90.3,698,1392,50.1,24,28.4,23.7,-4.4,218,725,178,33,846,
Opponent Total,,,27.0,21.0,6836,8717,78.4,121033,45812,3082,3497,88.1,2966,3471,85.5,628,1320,47.6,16,20.5,15.7,-4.5,165,533,151,40,678,
