Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,545,858,63.5,17601,13066,77,78,98.7,244,248,98.4,222,528,42.0,0,0.0,0.1,0.0,0,47,2,0,1,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,725,907,79.9,14217,5305,246,277,88.8,382,427,89.5,85,171,49.7,1,1.2,1.0,-0.2,13,63,7,2,61,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,888,1108,80.1,15765,4709,386,425,90.8,405,476,85.1,84,164,51.2,3,2.9,2.6,0.1,25,102,23,11,111,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,593,855,69.4,10498,4045,276,328,84.1,261,362,72.1,53,116,45.7,1,0.3,0.5,0.7,10,40,10,5,47,Matches
Michael Keane,eng ENG,DF,33-003,18.6,593,696,85.2,11928,4015,168,189,88.9,351,380,92.4,69,111,62.2,0,0.1,0.2,-0.1,1,32,2,0,45,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,598,833,71.8,10502,4501,286,321,89.1,255,340,75.0,51,133,38.3,0,0.6,1.3,-0.6,9,62,23,8,84,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,484,603,80.3,7686,1899,265,292,90.8,179,210,85.2,32,50,64.0,6,4.1,3.6,1.9,38,39,21,5,68,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,366,469,78.0,5213,947,208,238,87.4,139,170,81.8,8,19,42.1,2,2.6,2.7,-0.6,16,14,14,5,26,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,405,533,76.0,6591,1684,197,226,87.2,173,205,84.4,28,78,35.9,2,2.9,2.8,-0.9,20,45,25,3,73,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,117,196,59.7,1451,162,73,100,73.0,32,67,47.8,4,8,50.0,0,0.4,0.2,-0.4,5,6,0,0,8,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,450,526,85.6,7236,1788,220,245,89.8,193,218,88.5,27,38,71.1,0,0.3,0.5,-0.3,5,36,9,2,55,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,256,316,81.0,4216,1033,119,142,83.8,130,148,87.8,7,13,53.8,2,0.6,0.6,1.4,5,23,3,0,28,Matches
Beto,gw GNB,FW,27-348,9.3,68,111,61.3,769,67,50,70,71.4,13,26,50.0,0,0,,0,0.4,0.1,-0.4,3,4,0,0,2,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,225,285,78.9,3912,646,110,133,82.7,87,102,85.3,24,30,80.0,1,0.8,0.4,0.2,9,18,5,1,21,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,106,148,71.6,1778,430,55,66,83.3,41,47,87.2,9,24,37.5,1,0.8,0.7,0.2,7,8,4,2,12,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,80,98,81.6,1155,196,49,56,87.5,22,30,73.3,5,7,71.4,0,0.2,0.1,-0.2,3,4,1,1,3,Matches
Merlin Röhl,de GER,MF,23-193,3.0,67,94,71.3,978,264,37,49,75.5,26,34,76.5,2,3,66.7,0,0.2,0.1,-0.2,3,5,2,2,6,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,32,39,82.1,481,102,20,20,100.0,11,15,73.3,1,1,100.0,0,0.0,0.1,0.0,1,5,2,0,4,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,18,31,58.1,335,106,9,10,90.0,7,11,63.6,2,10,20.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,4,5,80.0,50,31,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,,,28.0,21.0,6620,8711,76.0,122362,44996,2854,3268,87.3,2952,3517,83.9,713,1505,47.4,19,18.3,17.6,0.7,173,554,153,47,657,
Opponent Total,,,26.4,21.0,9503,11551,82.3,160674,51903,4466,4919,90.8,4132,4665,88.6,688,1419,48.5,22,21.5,21.3,0.5,204,739,187,51,902,
