Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,658,856,76.9,15102,9570,157,157,100.0,383,385,99.5,114,306,37.3,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,1264,1481,85.3,26192,9499,387,416,93.0,697,736,94.7,170,298,57.0,0,0.8,1.4,-0.8,4,117,6,0,86,Matches
Sander Berge,no NOR,MF,27-334,19.1,914,1018,89.8,15746,4182,384,423,90.8,457,485,94.2,60,71,84.5,1,1.5,0.9,-0.5,14,96,10,3,111,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,374,507,73.8,6141,1626,197,218,90.4,123,161,76.4,38,81,46.9,4,2.5,2.4,1.5,19,27,17,3,45,Matches
Kenny Tete,nl NED,DF,30-097,14.9,646,797,81.1,9984,3786,359,393,91.3,230,276,83.3,44,83,53.0,0,0.6,0.9,-0.6,7,46,11,7,54,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,613,764,80.2,11251,2997,250,283,88.3,284,336,84.5,67,106,63.2,2,2.1,2.1,-0.1,23,58,29,8,86,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,208,324,64.2,2967,764,124,167,74.3,62,91,68.1,14,23,60.9,3,1.3,0.7,1.7,16,18,5,0,29,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,839,957,87.7,15096,4778,307,331,92.7,467,497,94.0,53,105,50.5,0,0.1,0.2,-0.1,4,56,5,1,51,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,404,502,80.5,6412,1337,211,246,85.8,160,187,85.6,27,44,61.4,2,1.6,1.3,0.4,21,30,5,1,35,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,424,576,73.6,6562,2286,224,256,87.5,172,219,78.5,18,55,32.7,0,1.2,1.3,-1.2,7,31,6,1,43,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,176,225,78.2,2410,516,105,125,84.0,59,72,81.9,3,6,50.0,1,0.4,0.4,0.6,8,11,8,0,28,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,451,504,89.5,6568,1116,261,288,90.6,164,178,92.1,13,16,81.3,0,0.5,0.6,-0.5,11,32,9,1,68,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,334,403,82.9,5245,1479,179,195,91.8,127,156,81.4,21,33,63.6,0,0.5,0.4,-0.5,7,13,8,3,22,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,312,360,86.7,5654,2097,126,129,97.7,157,170,92.4,25,48,52.1,0,0.0,0.1,0.0,1,26,2,1,23,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,200,279,71.7,3467,890,99,114,86.8,69,95,72.6,25,44,56.8,1,1.0,1.2,0.0,10,13,20,7,33,Matches
Antonee Robinson,us USA,DF,28-159,6.5,322,427,75.4,5756,2017,148,173,85.5,138,177,78.0,32,58,55.2,0,0.9,1.0,-0.9,12,19,18,9,31,Matches
Issa Diop,fr FRA,DF,29-005,4.6,170,198,85.9,2983,1111,82,87,94.3,71,75,94.7,16,29,55.2,0,0.0,0.0,0.0,0,17,0,0,9,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,12,38,31.6,192,58,7,12,58.3,4,13,30.8,1,7,14.3,1,0.3,0.0,0.7,4,2,1,0,2,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,326,352,92.6,5497,1490,148,158,93.7,152,165,92.1,21,24,87.5,0,0.1,0.3,-0.1,4,25,5,1,36,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,128,178,71.9,2155,524,64,76,84.2,47,64,73.4,15,22,68.2,4,1.7,2.2,2.3,11,9,9,1,18,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,67,95,70.5,930,171,31,40,77.5,29,37,78.4,1,7,14.3,0,0.5,0.6,-0.5,3,3,6,3,4,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,8,11,72.7,98,31,7,9,77.8,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,2,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,9,9,100.0,194,68,4,4,100.0,2,2,100.0,3,3,100.0,0,0.0,0.2,0.0,0,2,1,1,0,Matches
Squad Total,,,28.7,21.0,8859,10861,81.6,156602,52393,3861,4300,89.8,4055,4579,88.6,781,1469,53.2,19,17.2,18.2,1.8,187,654,181,51,817,
Opponent Total,,,26.5,21.0,8324,10290,80.9,146490,50777,3698,4110,90.0,3706,4218,87.9,728,1445,50.4,19,20.1,18.0,-1.1,169,736,171,30,838,
