Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,1264,1537,82.2,22111,7216,589,651,90.5,542,616,88.0,116,224,51.8,2,2.2,2.1,-0.2,31,169,25,9,177,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,830,953,87.1,15750,5743,271,290,93.4,482,514,93.8,67,125,53.6,0,0.3,0.4,-0.3,1,68,6,0,49,Matches
Neco Williams,wls WAL,DF,24-276,21.0,837,1084,77.2,13003,4296,460,502,91.6,319,394,81.0,44,128,34.4,1,2.1,2.0,-1.1,20,57,20,13,91,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,634,793,79.9,9656,2208,356,404,88.1,233,280,83.2,33,59,55.9,1,1.2,1.7,-0.2,23,71,27,5,124,Matches
Matz Sels,be BEL,GK,33-322,16.1,298,488,61.1,8289,6070,82,84,97.6,119,123,96.7,92,275,33.5,0,0.1,0.1,-0.1,1,20,2,0,1,Matches
Murillo,br BRA,DF,23-194,14.2,599,717,83.5,12085,5138,213,230,92.6,308,346,89.0,75,134,56.0,0,0.2,0.4,-0.2,4,68,2,0,61,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,198,274,72.3,3060,783,113,134,84.3,66,89,74.2,12,24,50.0,1,1.0,1.2,0.0,9,11,11,4,25,Matches
Igor Jesus,br BRA,FW,24-323,12.8,158,226,69.9,2246,398,98,129,76.0,41,58,70.7,10,11,90.9,1,1.2,0.8,-0.2,6,8,4,1,18,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,364,464,78.4,5494,1055,202,222,91.0,123,151,81.5,26,56,46.4,1,2.2,1.5,-1.2,24,16,19,3,41,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,398,531,75.0,6408,2157,213,249,85.5,152,194,78.4,27,67,40.3,0,0.4,0.4,-0.4,7,30,9,7,30,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,407,469,86.8,6934,2291,190,203,93.6,177,198,89.4,30,44,68.2,2,0.9,1.1,1.1,4,56,4,0,58,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,272,386,70.5,4145,879,166,187,88.8,85,123,69.1,16,51,31.4,2,2.3,2.5,-0.3,19,5,22,9,22,Matches
Morato,br BRA,DF,24-198,7.9,414,481,86.1,7509,3537,177,193,91.7,193,214,90.2,40,67,59.7,0,0.0,0.1,0.0,0,28,1,0,32,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,217,253,85.8,3742,1280,102,110,92.7,93,105,88.6,21,28,75.0,0,0.4,0.4,-0.4,8,31,9,2,34,Matches
Chris Wood,nz NZL,FW,34-038,6.0,54,81,66.7,751,108,31,41,75.6,20,30,66.7,0,2,0.0,0,0.2,0.1,-0.2,3,4,1,0,7,Matches
John,br BRA,GK,29-335,4.9,90,140,64.3,2812,2094,10,10,100.0,48,48,100.0,32,79,40.5,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Ola Aina,ng NGA,DF,29-098,4.8,184,231,79.7,3148,1392,83,86,96.5,83,103,80.6,14,31,45.2,0,0.2,0.4,-0.2,4,16,3,1,16,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,208,239,87.0,3502,875,98,104,94.2,90,98,91.8,17,31,54.8,0,0.7,0.7,-0.7,5,12,4,1,16,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,268,310,86.5,4400,1152,132,141,93.6,117,127,92.1,17,31,54.8,0,0.5,0.4,-0.5,5,31,8,1,41,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,100,148,67.6,1460,406,64,77,83.1,28,40,70.0,5,18,27.8,1,0.9,0.7,0.1,7,7,3,2,12,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,123,147,83.7,1950,450,61,69,88.4,56,63,88.9,4,10,40.0,1,0.1,0.2,0.9,1,9,2,1,16,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,27,32,84.4,360,32,17,18,94.4,9,10,90.0,0,0,,0,0.4,0.4,-0.4,3,0,0,0,1,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,63,75,84.0,889,212,36,37,97.3,21,26,80.8,3,6,50.0,0,0.4,0.2,-0.4,3,6,4,0,10,Matches
Jair Cunha,br BRA,DF,20-313,1.0,38,49,77.6,593,237,20,24,83.3,18,24,75.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,24,31,77.4,336,32,12,15,80.0,12,14,85.7,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,17,26,65.4,266,110,10,12,83.3,7,11,63.6,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jota Silva,pt POR,FW,26-166,0.1,2,3,66.7,27,5,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.2,21.0,8088,10168,79.5,140926,50156,3807,4223,90.1,3443,4001,86.1,701,1504,46.6,13,18.0,17.6,-5.0,189,732,187,59,886,
Opponent Total,,,26.6,21.0,8101,10107,80.2,141754,48931,3625,4052,89.5,3547,4076,87.0,724,1456,49.7,22,21.7,17.7,0.3,203,644,174,45,813,
