Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,583,558,25,4,14,5,21,6,1,0,0,0,419,0,24,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,1256,1163,91,78,1,1,4,1,0,0,0,0,1187,2,3,Matches
Matty Cash,pl POL,DF,28-160,19.7,1012,817,193,30,2,5,78,129,34,28,2,0,779,2,22,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,609,563,42,16,5,6,60,2,19,14,0,0,461,4,12,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,262,256,5,0,2,0,4,1,0,0,0,0,176,1,12,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,694,587,105,54,1,1,0,0,0,0,0,0,532,2,1,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,820,800,20,18,4,4,2,0,2,0,1,0,722,0,12,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,637,487,150,19,1,1,62,106,25,19,1,0,477,0,25,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,739,681,55,32,9,3,23,1,13,2,1,0,609,3,14,Matches
Amadou Onana,be BEL,MF,24-151,9.9,411,404,7,7,1,3,0,0,0,0,0,0,359,0,3,Matches
Pau Torres,es ESP,DF,28-363,10.6,641,563,77,38,0,5,2,0,0,0,0,0,562,1,4,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,308,298,10,2,1,1,5,2,2,1,0,0,237,0,14,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,417,350,67,6,0,1,23,56,5,2,3,0,337,0,11,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,381,333,47,11,0,0,0,0,0,0,0,0,359,1,1,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,97,95,0,0,0,0,10,0,0,0,0,0,68,2,9,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,348,308,39,22,1,0,1,2,0,0,0,0,311,1,0,Matches
Donyell Malen,nl NED,FW,27-005,7.3,103,90,11,0,1,0,7,0,3,0,0,0,75,2,5,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,253,241,11,6,0,0,0,5,0,0,0,0,229,1,4,Matches
Marco Bizot,nl NED,GK,34-310,4.5,184,152,32,8,0,0,0,0,0,0,0,0,148,0,0,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,138,134,4,0,0,0,8,3,1,0,0,0,116,0,9,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,62,59,3,0,1,0,3,2,0,0,0,0,53,0,0,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,51,50,1,1,2,1,0,0,0,0,0,0,44,0,0,Matches
Andrés García,es ESP,DF,22-341,0.3,24,19,5,1,0,0,3,4,0,0,0,0,21,0,0,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,8,8,0,0,0,0,3,0,0,0,0,0,3,0,1,Matches
George Hemmings,eng ENG,MF,18-316,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Squad Total,,,28.4,21.0,10053,9031,1000,353,46,37,319,320,105,66,8,0,8298,22,186,
Opponent Total,,,26.5,21.0,8962,8093,810,220,39,49,373,301,99,79,9,1,7245,59,168,
