Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,808,630,175,75,0,0,0,0,0,0,0,0,565,3,0,Matches
Michael Kayode,it ITA,DF,21-188,20.3,901,670,230,8,0,1,36,222,0,0,0,0,686,1,17,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,1027,987,37,17,0,2,1,0,0,0,0,0,836,3,2,Matches
Thiago,br BRA,FW,24-202,19.5,345,332,12,0,2,0,6,0,0,0,0,0,243,1,5,Matches
Kevin Schade,de GER,FW,24-048,18.3,325,309,15,0,3,1,11,10,1,1,0,0,214,1,12,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,761,746,12,7,1,8,14,3,0,0,0,0,619,3,11,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,758,725,32,6,0,4,0,3,0,0,0,0,674,1,4,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,861,819,41,36,5,3,40,2,1,1,0,0,665,1,8,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,553,468,76,15,8,0,74,4,41,20,13,3,376,9,14,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,265,239,24,0,1,0,42,1,14,13,0,0,131,2,9,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,370,350,19,0,0,1,3,19,0,0,0,0,284,1,6,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,273,247,26,3,0,0,30,20,2,0,2,0,200,0,7,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,409,360,46,10,4,3,44,12,22,17,3,0,306,3,7,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,470,426,39,19,1,1,29,1,19,16,0,0,389,5,4,Matches
Rico Henry,jm JAM,DF,28-190,8.0,320,258,60,1,0,1,16,59,0,0,0,0,226,2,11,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,260,218,42,5,0,0,4,37,0,0,0,0,211,0,6,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,102,99,3,0,0,0,0,2,0,0,0,0,81,0,1,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,31,25,5,1,0,0,5,0,3,0,2,0,21,1,0,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,36,36,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,29,29,0,0,0,0,1,0,0,0,0,0,28,0,0,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,8915,7984,894,203,25,25,356,395,103,68,20,3,6791,37,124,
Opponent Total,,,26.7,21.0,10383,9424,938,244,29,52,403,388,101,63,15,1,8200,21,163,
