Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,924,844,80,25,0,0,0,0,0,0,0,0,746,0,1,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20.0,1459,1412,44,33,0,25,10,3,0,0,0,0,1270,3,7,Matches
Lewis Dunk,eng ENG,DF,34-054,19.5,1613,1455,157,57,0,4,4,6,0,0,0,0,1488,1,6,Matches
Yankuba Minteh,gm GAM,FW,21-176,17.1,476,437,34,4,2,3,82,10,20,16,0,0,278,5,17,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,17.8,840,718,116,10,2,2,68,81,25,24,0,0,670,6,12,Matches
Yasin Ayari,se SWE,MF,22-100,16.9,805,764,36,14,0,6,22,3,16,9,1,0,676,5,11,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,14.9,327,308,18,1,5,0,12,0,0,0,0,0,227,1,20,Matches
Diego Gómez,py PAR,"MF,FW",22-293,14.1,464,441,17,2,2,1,11,4,1,1,0,0,360,6,11,Matches
Carlos Baleba,cm CMR,MF,22-011,10.0,374,369,5,4,2,2,0,1,0,0,0,0,319,0,6,Matches
Mats Wieffer,nl NED,DF,26-059,13.1,709,568,136,20,1,5,8,116,0,0,0,0,596,5,9,Matches
Danny Welbeck,eng ENG,FW,35-049,12.5,261,257,2,0,2,1,1,0,0,0,0,0,203,2,11,Matches
Maxim De Cuyper,be BEL,"DF,FW",25-023,10.9,535,463,71,16,0,4,54,34,21,20,0,1,417,1,9,Matches
Kaoru Mitoma,jp JPN,FW,28-239,8.3,252,249,3,0,0,0,19,3,0,0,0,0,195,0,10,Matches
Brajan Gruda,de GER,"MF,FW",21-228,7.3,229,211,18,7,2,1,14,2,7,5,0,0,170,0,3,Matches
Jack Hinshelwood,eng ENG,"MF,DF",20-278,6.6,287,264,21,6,2,2,3,10,0,0,0,0,242,2,4,Matches
Joël Veltman,nl NED,DF,33-364,6.5,287,225,62,6,1,1,9,56,0,0,0,0,220,0,10,Matches
James Milner,eng ENG,MF,40-010,3.4,204,184,20,9,1,1,9,4,4,1,3,0,174,0,1,Matches
Diego Coppola,it ITA,DF,22-017,2.2,115,110,5,4,0,0,0,1,0,0,0,0,101,0,1,Matches
Matt O'Riley,dk DEN,MF,25-054,2.0,61,54,6,0,0,0,6,0,2,2,0,0,51,1,1,Matches
Olivier Boscagli,fr FRA,DF,28-057,1.6,160,142,18,4,0,0,4,5,1,0,0,0,142,0,0,Matches
Charalampos Kostoulas,gr GRE,"FW,MF",18-229,2.0,60,57,3,1,0,0,5,1,1,0,0,0,40,0,4,Matches
Stefanos Tzimas,gr GRE,"FW,MF",20-008,1.5,25,23,2,0,1,0,1,0,0,0,0,0,17,0,1,Matches
Pascal Groß,de GER,MF,34-213,1.2,61,59,2,2,0,0,1,0,0,0,0,0,51,0,2,Matches
Tom Watson,eng ENG,FW,19-281,0.7,20,18,2,1,0,0,0,1,0,0,0,0,15,0,1,Matches
Joe Knight,eng ENG,MF,20-115,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nehemiah Oriola,eng ENG,MF,18-217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,10548,9632,878,226,23,58,343,341,98,78,4,1,8668,38,158,
Opponent Total,,,26.7,21.0,9789,8769,995,285,34,43,330,361,97,81,8,1,7834,25,178,
