Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,19.3,1379,1306,71,35,4,7,5,14,0,0,0,0,1262,2,6,Matches
Robert Sánchez,es ESP,GK,28-057,19.0,816,681,131,45,0,1,0,0,0,0,0,0,553,4,0,Matches
Enzo Fernández,ar ARG,MF,24-362,18.9,1061,992,68,30,8,7,42,3,24,19,0,0,875,1,19,Matches
Pedro Neto,pt POR,FW,25-311,18.2,704,618,84,21,2,4,119,18,45,33,2,0,520,2,19,Matches
Marc Cucurella,es ESP,DF,27-176,16.9,978,863,115,13,1,2,13,102,0,0,0,0,854,0,12,Matches
João Pedro,br BRA,"FW,MF",24-110,16.9,451,433,16,1,9,1,11,2,0,0,0,0,344,2,9,Matches
Moisés Caicedo,ec ECU,MF,24-073,14.9,906,875,28,25,4,1,2,2,0,0,0,0,822,3,7,Matches
Reece James,eng ENG,"DF,MF",26-037,15.2,1069,917,150,33,6,6,75,73,44,33,1,0,896,2,14,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,13.6,762,652,106,18,5,0,18,88,0,0,0,0,644,4,16,Matches
Alejandro Garnacho,ar ARG,FW,21-197,8.5,282,278,4,3,0,0,36,1,0,0,0,0,221,0,10,Matches
Wesley Fofana,fr FRA,DF,25-028,8.4,519,498,20,11,0,0,0,7,0,0,0,0,471,1,2,Matches
Cole Palmer,eng ENG,"MF,FW",23-253,7.4,302,283,19,2,3,1,13,3,0,0,0,0,230,0,16,Matches
Estêvão Willian,br BRA,FW,18-265,6.8,222,208,14,1,1,0,12,1,11,6,0,0,176,0,7,Matches
Liam Delap,eng ENG,FW,22-340,6.4,102,101,1,0,1,0,4,1,0,0,0,0,72,0,4,Matches
Tosin Adarabioyo,eng ENG,DF,28-112,7.2,648,620,25,10,4,2,0,3,0,0,0,0,586,3,4,Matches
Joshua Acheampong,eng ENG,DF,19-254,5.2,354,333,21,9,0,0,1,8,0,0,0,0,321,0,3,Matches
Andrey Santos,br BRA,MF,21-256,5.8,292,281,8,7,2,0,1,0,0,0,0,0,249,3,3,Matches
Jamie Gittens,eng ENG,FW,21-159,5.0,149,148,0,0,2,1,13,0,0,0,0,0,112,1,9,Matches
Benoît Badiashile,fr FRA,DF,24-294,3.7,275,258,17,7,0,0,0,0,0,0,0,0,258,0,1,Matches
Jorrel Hato,nl NED,DF,19-313,2.9,160,142,17,2,0,0,2,10,0,0,0,0,138,1,2,Matches
Marc Guiu,es ESP,FW,20-010,2.6,25,24,1,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Filip Jørgensen,dk DEN,GK,23-273,1.9,94,81,13,6,0,1,0,0,0,0,0,0,77,0,1,Matches
Roméo Lavia,be BEL,MF,22-008,1.2,68,67,0,0,0,0,1,0,0,0,0,0,63,1,0,Matches
Facundo Buonanotte,ar ARG,MF,21-022,0.5,22,22,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches
Tyrique George,eng ENG,FW,19-344,1.6,24,21,3,0,0,0,1,0,0,0,0,0,21,0,0,Matches
Squad Total,,,24.7,21.0,11664,10702,932,279,52,34,369,336,124,91,3,0,9802,30,164,
Opponent Total,,,27.0,21.0,8717,7730,954,257,40,34,327,380,91,50,17,0,6836,33,150,
