Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,856,689,163,51,0,1,0,0,0,0,0,0,658,4,0,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,1481,1384,93,69,0,29,8,14,0,0,0,0,1264,4,6,Matches
Sander Berge,no NOR,MF,27-334,19.1,1018,1003,14,12,2,10,9,2,0,0,0,0,914,1,13,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,507,445,60,16,2,6,63,3,36,18,11,0,374,2,20,Matches
Kenny Tete,nl NED,DF,30-097,14.9,797,658,135,12,1,0,26,123,0,0,0,0,646,4,21,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,764,713,44,10,4,7,41,11,16,10,2,1,613,7,16,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,324,311,11,3,1,1,3,6,0,0,0,0,208,2,19,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,957,879,76,28,0,7,6,21,0,0,0,0,839,2,12,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,502,432,68,18,1,1,44,0,30,20,7,0,404,2,13,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,576,457,116,4,3,2,32,112,0,0,0,0,424,3,21,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,225,217,8,1,0,0,7,1,0,0,0,0,176,0,8,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,504,494,9,4,0,0,9,3,0,0,0,0,451,1,5,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,403,344,56,1,0,1,25,55,0,0,0,0,334,3,8,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,360,336,22,5,1,3,2,0,0,0,0,0,312,2,6,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,279,262,16,3,1,3,37,4,9,8,1,0,200,1,9,Matches
Antonee Robinson,us USA,DF,28-159,6.5,427,360,67,3,0,1,38,64,0,0,0,0,322,0,10,Matches
Issa Diop,fr FRA,DF,29-005,4.6,198,194,4,4,0,0,1,0,0,0,0,0,170,0,4,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,38,38,0,0,0,1,0,0,0,0,0,0,12,0,1,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,352,336,16,6,2,1,3,0,2,1,0,0,326,0,0,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,178,173,4,0,2,1,8,3,1,1,0,0,128,1,7,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,95,93,2,0,1,0,15,2,0,0,0,0,67,0,2,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,9,7,2,0,0,0,2,0,1,1,0,0,9,0,0,Matches
Squad Total,,,28.7,21.0,10861,9836,986,250,21,75,379,424,95,59,21,1,8859,39,201,
Opponent Total,,,26.5,21.0,10290,9270,967,260,45,70,375,385,120,90,12,2,8324,53,172,
