Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,896,679,214,102,0,2,0,0,0,0,0,0,583,3,0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,1143,1005,133,72,5,13,60,2,37,33,0,0,915,5,12,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,730,621,105,10,1,5,50,83,12,9,0,1,512,4,21,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,908,701,202,11,2,2,29,161,0,0,0,0,626,5,25,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,635,587,46,11,6,3,55,5,25,22,0,1,481,2,21,Matches
Omar Alderete,py PAR,DF,29-019,16.3,691,678,11,9,3,12,5,2,0,0,0,0,572,2,6,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,546,525,19,3,2,1,13,5,0,0,0,0,454,2,11,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,604,554,45,8,1,7,0,0,0,0,0,0,492,5,2,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,468,410,57,2,0,0,14,55,0,0,0,0,388,1,8,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,95,95,0,0,1,0,0,0,0,0,0,0,56,0,7,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,434,414,20,3,1,0,1,12,0,0,0,0,373,0,6,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,262,254,7,0,0,2,30,6,1,0,1,0,197,1,10,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,192,188,3,0,1,0,27,3,0,0,0,0,130,1,13,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,185,184,0,0,0,1,13,0,0,0,0,0,137,1,6,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,94,93,1,0,0,0,1,0,0,0,0,0,62,0,4,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,100,100,0,0,1,1,3,0,0,0,0,0,71,0,3,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,51,51,0,0,0,0,0,0,0,0,0,0,33,0,3,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,126,126,0,0,0,0,8,0,0,0,0,0,96,0,6,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,90,76,14,1,0,0,3,13,0,0,0,0,70,0,5,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,62,55,7,1,0,2,8,6,0,0,0,0,45,0,2,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,110,104,6,1,0,0,1,0,0,0,0,0,96,0,1,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,39,38,1,0,0,0,5,0,1,0,0,0,30,0,3,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,21,20,1,0,1,0,0,1,0,0,0,0,17,0,3,Matches
Marc Guiu,es ESP,FW,20-010,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Dan Neil,eng ENG,MF,24-032,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
Squad Total,,,25.9,21.0,8510,7586,892,234,25,51,326,354,76,64,1,2,6458,32,178,
Opponent Total,,,26.8,21.0,11389,10433,929,230,30,37,485,414,104,75,17,0,9345,27,180,
