Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,842,693,145,53,0,0,0,0,0,0,0,0,602,4,0,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,1086,996,89,21,0,3,1,6,0,0,0,0,970,1,3,Matches
Pedro Porro,es ESP,DF,26-123,18.8,1175,944,226,37,2,16,135,156,33,25,6,0,814,5,40,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,579,510,65,7,0,4,122,9,49,44,0,0,415,4,21,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,748,738,9,5,2,0,7,1,0,0,0,0,627,1,9,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,869,802,65,50,0,3,1,2,0,0,0,0,755,2,1,Matches
Djed Spence,eng ENG,DF,25-158,15.0,730,604,120,9,0,5,29,111,0,0,0,0,569,6,22,Matches
João Palhinha,pt POR,MF,30-189,14.5,617,596,18,16,0,11,4,2,0,0,0,0,500,3,11,Matches
Richarlison,br BRA,FW,28-249,14.3,219,213,2,0,0,1,10,2,0,0,0,0,132,4,14,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,424,376,46,9,3,4,26,4,14,14,0,0,334,2,9,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,149,146,2,1,1,0,5,1,0,0,0,0,110,1,8,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,302,264,37,0,1,2,17,27,0,0,0,0,222,1,3,Matches
Archie Gray,eng ENG,MF,19-308,6.7,225,219,6,0,1,0,3,0,0,0,0,0,192,0,5,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,336,321,13,3,1,1,6,2,0,0,0,0,274,2,8,Matches
Kevin Danso,at AUT,DF,27-117,6.5,403,357,45,7,0,0,4,33,0,0,0,0,325,1,6,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,250,246,2,0,0,1,24,1,0,0,0,0,194,2,10,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,166,162,4,1,0,2,23,3,0,0,0,0,106,0,5,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,370,314,56,8,0,1,8,48,0,0,0,0,312,0,17,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,132,115,17,2,0,1,24,2,13,8,2,3,88,0,6,Matches
Ben Davies,wls WAL,DF,32-265,1.3,69,55,14,1,0,0,2,13,0,0,0,0,56,0,0,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,7,7,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.9,21.0,9701,8681,981,230,11,55,451,423,109,91,8,3,7602,39,199,
Opponent Total,,,26.7,21.0,9397,8366,984,258,34,46,375,406,106,71,20,1,7347,47,199,
