Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,21,21,1867.0,20.7,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,3.4,3.4,3.2,6.6,49.0,68.0,133.0,0.34,0.19,0.53,0.34,0.53,0.16,0.16,0.32,0.16,0.32,Matches
Ezri Konsa,eng ENG,DF,28-083,20,20,1775.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.8,10.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Matty Cash,pl POL,DF,28-160,20,20,1770.0,19.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.7,0.7,1.8,2.5,27.0,68.0,86.0,0.15,0.1,0.25,0.15,0.25,0.04,0.09,0.13,0.04,0.13,Matches
John McGinn,sct SCO,"FW,MF",31-088,21,20,1574.0,17.5,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.6,2.6,2.1,4.6,24.0,70.0,67.0,0.17,0.11,0.29,0.17,0.29,0.15,0.12,0.27,0.15,0.27,Matches
Ollie Watkins,eng ENG,FW,30-015,21,18,1563.0,17.4,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,8.4,8.4,1.2,9.6,34.0,15.0,110.0,0.4,0.06,0.46,0.4,0.46,0.48,0.07,0.55,0.48,0.55,Matches
Emiliano Martínez,ar ARG,GK,33-134,17,17,1485.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Boubacar Kamara,fr FRA,MF,26-052,18,17,1411.0,15.7,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.8,1.3,10.0,86.0,9.0,0.06,0.19,0.26,0.06,0.26,0.03,0.05,0.08,0.03,0.08,Matches
Lucas Digne,fr FRA,DF,32-178,20,14,1198.0,13.3,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.3,1.8,14.0,36.0,82.0,0.0,0.23,0.23,0.0,0.23,0.04,0.09,0.13,0.04,0.13,Matches
Youri Tielemans,be BEL,MF,28-252,15,13,1134.0,12.6,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.8,3.8,17.0,81.0,26.0,0.0,0.32,0.32,0.0,0.32,0.07,0.22,0.3,0.07,0.3,Matches
Amadou Onana,be BEL,MF,24-151,14,11,888.0,9.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.6,11.0,40.0,4.0,0.2,0.0,0.2,0.2,0.2,0.04,0.01,0.06,0.04,0.06,Matches
Pau Torres,es ESP,DF,28-363,12,10,954.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,10.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,19,9,769.0,8.5,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,1.8,1.8,1.4,3.3,19.0,39.0,37.0,0.47,0.23,0.7,0.47,0.7,0.21,0.17,0.38,0.21,0.38,Matches
Ian Maatsen,nl NED,DF,23-310,15,7,698.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.5,2.2,14.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.29,0.09,0.29,Matches
Victor Lindelöf,se SWE,DF,31-181,10,6,569.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,3.0,12.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.04,0.05,0.0,0.05,Matches
Evann Guessand,ci CIV,FW,24-197,12,6,515.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,12.0,8.0,28.0,0.0,0.17,0.17,0.0,0.17,0.17,0.11,0.28,0.17,0.28,Matches
Tyrone Mings,eng ENG,DF,32-307,7,6,498.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,1.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Donyell Malen,nl NED,FW,27-005,21,5,656.0,7.3,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.4,4.5,13.0,14.0,35.0,0.55,0.14,0.69,0.55,0.69,0.56,0.06,0.62,0.56,0.62,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,16,4,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Marco Bizot,nl NED,GK,34-310,5,4,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
