Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,20,20,1740.0,19.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,1.1,1.1,0.1,1.2,15.0,54.0,3.0,0.16,0.0,0.16,0.16,0.16,0.06,0.01,0.06,0.06,0.06,Matches
Robert Sánchez,es ESP,GK,28-057,20,20,1714.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.04,0.0,0.04,Matches
Enzo Fernández,ar ARG,MF,24-362,20,19,1701.0,18.9,6.0,1.0,7.0,5.0,1.0,1.0,5.0,0.0,7.8,7.0,4.9,11.9,31.0,144.0,68.0,0.32,0.05,0.37,0.26,0.32,0.41,0.26,0.67,0.37,0.63,Matches
Pedro Neto,pt POR,FW,25-311,21,19,1639.0,18.2,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.6,3.6,4.0,7.6,86.0,55.0,160.0,0.27,0.16,0.44,0.27,0.44,0.2,0.22,0.42,0.2,0.42,Matches
Marc Cucurella,es ESP,DF,27-176,19,18,1525.0,16.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,1.7,2.3,26.0,78.0,49.0,0.0,0.12,0.12,0.0,0.12,0.03,0.1,0.14,0.03,0.14,Matches
João Pedro,br BRA,"FW,MF",24-110,21,18,1525.0,16.9,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,6.5,6.5,2.8,9.3,39.0,58.0,100.0,0.35,0.18,0.53,0.35,0.53,0.38,0.17,0.55,0.38,0.55,Matches
Moisés Caicedo,ec ECU,MF,24-073,16,15,1342.0,14.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,0.9,0.9,1.1,2.0,11.0,91.0,13.0,0.2,0.07,0.27,0.2,0.27,0.06,0.08,0.13,0.06,0.13,Matches
Reece James,eng ENG,"DF,MF",26-037,20,14,1365.0,15.2,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,3.2,4.0,18.0,84.0,31.0,0.13,0.26,0.4,0.13,0.4,0.06,0.21,0.27,0.06,0.27,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,19,13,1221.0,13.6,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,1.2,1.2,1.2,2.4,17.0,68.0,45.0,0.15,0.15,0.29,0.15,0.29,0.09,0.09,0.18,0.09,0.18,Matches
Alejandro Garnacho,ar ARG,FW,21-197,13,10,761.0,8.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,3.1,5.0,64.0,13.0,117.0,0.12,0.35,0.47,0.12,0.47,0.23,0.36,0.59,0.23,0.59,Matches
