Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Bernd Leno,de GER,GK,33-316,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joachim Andersen,dk DEN,DF,29-228,20,20,1751.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,1.6,10.0,86.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Sander Berge,no NOR,MF,27-334,21,20,1722.0,19.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.2,32.0,111.0,16.0,0.0,0.05,0.05,0.0,0.05,0.03,0.08,0.11,0.03,0.11,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,20,18,1496.0,16.6,7.0,4.0,11.0,7.0,0.0,0.0,5.0,0.0,3.8,3.8,2.5,6.3,21.0,45.0,111.0,0.42,0.24,0.66,0.42,0.66,0.23,0.15,0.38,0.23,0.38,Matches
Kenny Tete,nl NED,DF,30-097,16,16,1345.0,14.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.0,18.0,54.0,30.0,0.07,0.0,0.07,0.07,0.07,0.03,0.04,0.07,0.03,0.07,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,16,16,1328.0,14.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,2.1,2.8,51.0,86.0,69.0,0.14,0.14,0.27,0.14,0.27,0.05,0.14,0.19,0.05,0.19,Matches
Raúl Jiménez,mx MEX,FW,34-254,20,16,1310.0,14.6,5.0,3.0,8.0,4.0,1.0,1.0,4.0,0.0,5.6,4.8,1.3,6.1,8.0,29.0,62.0,0.34,0.21,0.55,0.27,0.48,0.38,0.09,0.47,0.33,0.42,Matches
Calvin Bassey,ng NGA,DF,26-014,16,15,1359.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,19.0,51.0,4.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
Saša Lukić,rs SRB,MF,29-154,18,14,1145.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,1.6,3.4,22.0,35.0,44.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.27,0.14,0.27,Matches
Ryan Sessegnon,eng ENG,DF,25-241,14,13,1124.0,12.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.2,2.1,29.0,43.0,62.0,0.16,0.0,0.16,0.16,0.16,0.07,0.1,0.17,0.07,0.17,Matches
Joshua King,eng ENG,"MF,FW",19-011,18,11,870.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,0.4,1.5,24.0,28.0,56.0,0.0,0.1,0.1,0.0,0.1,0.12,0.04,0.16,0.12,0.16,Matches
Emile Smith Rowe,eng ENG,MF,25-170,21,9,914.0,10.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,0.5,3.4,28.0,68.0,61.0,0.3,0.0,0.3,0.3,0.3,0.29,0.05,0.34,0.29,0.34,Matches
