Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Erling Haaland,no NOR,FW,25-177,21,21,1821.0,20.2,20.0,4.0,24.0,18.0,2.0,3.0,0.0,0.0,18.8,16.4,2.7,19.1,30.0,15.0,65.0,0.99,0.2,1.19,0.89,1.09,0.93,0.13,1.06,0.81,0.94,Matches
Rúben Dias,pt POR,DF,28-245,20,19,1706.0,19.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,14.0,84.0,1.0,0.11,0.0,0.11,0.11,0.11,0.03,0.01,0.03,0.03,0.03,Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Phil Foden,eng ENG,MF,25-231,19,18,1567.0,17.4,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,5.1,5.1,3.3,8.4,31.0,79.0,91.0,0.4,0.11,0.52,0.4,0.52,0.29,0.19,0.48,0.29,0.48,Matches
Matheus Nunes,pt POR,DF,27-140,19,17,1576.0,17.5,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.8,1.1,38.0,93.0,84.0,0.06,0.17,0.23,0.06,0.23,0.01,0.05,0.06,0.01,0.06,Matches
Bernardo Silva,pt POR,MF,31-157,21,17,1496.0,16.6,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,2.3,2.9,43.0,77.0,75.0,0.0,0.12,0.12,0.0,0.12,0.04,0.14,0.17,0.04,0.17,Matches
Nico O’Reilly,eng ENG,DF,20-299,20,16,1479.0,16.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,2.1,2.1,2.6,4.7,47.0,37.0,92.0,0.06,0.18,0.24,0.06,0.24,0.13,0.16,0.28,0.13,0.28,Matches
Tijjani Reijnders,nl NED,MF,27-169,20,16,1336.0,14.8,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,3.7,3.7,2.4,6.1,37.0,59.0,67.0,0.34,0.13,0.47,0.34,0.47,0.25,0.16,0.41,0.25,0.41,Matches
Nicolás González,es ESP,MF,24-011,19,15,1335.0,14.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.6,1.1,21.0,83.0,12.0,0.07,0.0,0.07,0.07,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Joško Gvardiol,hr CRO,DF,23-356,16,15,1302.0,14.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.3,2.3,0.4,2.8,21.0,101.0,10.0,0.14,0.14,0.28,0.14,0.28,0.16,0.03,0.19,0.16,0.19,Matches
Jeremy Doku,be BEL,"MF,FW",23-232,18,12,1089.0,12.1,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,6.4,8.1,123.0,56.0,130.0,0.08,0.33,0.41,0.08,0.41,0.14,0.53,0.67,0.14,0.67,Matches
Rayan Cherki,fr FRA,"MF,FW",22-150,16,10,840.0,9.3,2.0,7.0,9.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,5.7,7.3,56.0,58.0,92.0,0.21,0.75,0.96,0.21,0.96,0.18,0.61,0.79,0.18,0.79,Matches
Sávio,br BRA,"MF,FW",21-279,15,5,541.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,50.0,11.0,60.0,0.0,0.17,0.17,0.0,0.17,0.17,0.12,0.29,0.17,0.29,Matches
Oscar Bobb,no NOR,"MF,FW",22-186,9,5,468.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,1.1,17.0,18.0,55.0,0.0,0.19,0.19,0.0,0.19,0.08,0.13,0.21,0.08,0.21,Matches
Rodri,es ESP,MF,29-206,9,5,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,9.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.21,0.03,0.21,Matches
Abdukodir Khusanov,uz UZB,DF,21-319,7,4,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
John Stones,eng ENG,DF,31-231,7,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Nathan Aké,nl NED,DF,30-330,11,3,401.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,6.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches
James Trafford,eng ENG,GK,23-096,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-222,5,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
Rico Lewis,eng ENG,"DF,MF",21-054,9,2,227.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,3.0,24.0,12.0,0.0,0.4,0.4,0.0,0.4,0.01,0.53,0.54,0.01,0.54,Matches
Omar Marmoush,eg EGY,"FW,MF",26-341,10,2,211.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.0,2.2,7.0,5.0,20.0,0.0,0.43,0.43,0.0,0.43,0.52,0.43,0.95,0.52,0.95,Matches
Max Alleyne,eng ENG,DF,20-177,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.03,0.19,0.16,0.19,Matches
