Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,20,19,1748.0,19.4,8.0,3.0,11.0,7.0,1.0,1.0,4.0,0.0,3.9,3.1,2.3,5.4,28.0,162.0,56.0,0.41,0.15,0.57,0.36,0.51,0.2,0.12,0.32,0.16,0.28,Matches
Sandro Tonali,it ITA,MF,25-251,21,18,1428.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.9,2.5,25.0,106.0,29.0,0.0,0.06,0.06,0.0,0.06,0.04,0.12,0.16,0.04,0.16,Matches
Malick Thiaw,de GER,DF,24-159,18,17,1488.0,16.5,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.8,1.8,0.3,2.1,15.0,68.0,15.0,0.18,0.0,0.18,0.18,0.18,0.11,0.02,0.13,0.11,0.13,Matches
Nick Woltemade,de GER,FW,23-334,18,16,1259.0,14.0,7.0,2.0,9.0,6.0,1.0,1.0,0.0,0.0,6.1,5.3,1.2,6.4,5.0,16.0,59.0,0.5,0.14,0.64,0.43,0.57,0.43,0.08,0.52,0.38,0.46,Matches
Nick Pope,eng ENG,GK,33-270,15,15,1336.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dan Burn,eng ENG,DF,33-250,15,15,1255.0,13.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.3,0.4,5.0,39.0,24.0,0.0,0.14,0.14,0.0,0.14,0.01,0.02,0.03,0.01,0.03,Matches
Joelinton,br BRA,MF,29-153,17,15,1226.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,1.4,2.6,19.0,63.0,53.0,0.15,0.0,0.15,0.15,0.15,0.09,0.1,0.19,0.09,0.19,Matches
Anthony Gordon,eng ENG,FW,24-324,16,14,998.0,11.1,2.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,4.3,2.8,2.8,5.5,53.0,46.0,89.0,0.18,0.09,0.27,0.0,0.09,0.39,0.25,0.64,0.25,0.5,Matches
Jacob Murphy,eng ENG,FW,30-324,18,12,1010.0,11.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.8,2.8,3.5,6.3,30.0,36.0,128.0,0.18,0.09,0.27,0.18,0.27,0.25,0.31,0.56,0.25,0.56,Matches
Fabian Schär,ch SUI,DF,34-025,16,11,1091.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.2,6.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.1,0.08,0.1,Matches
