Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Micky van de Ven,nl NED,DF,24-270,20,20,1789.0,19.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.1,2.1,0.6,2.8,14.0,49.0,3.0,0.15,0.05,0.2,0.15,0.2,0.11,0.03,0.14,0.11,0.14,Matches
Pedro Porro,es ESP,DF,26-123,21,19,1688.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.8,2.2,38.0,100.0,50.0,0.0,0.05,0.05,0.0,0.05,0.02,0.1,0.12,0.02,0.12,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,19,19,1535.0,17.1,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,1.9,1.9,2.8,4.7,58.0,42.0,134.0,0.12,0.29,0.41,0.12,0.41,0.11,0.17,0.28,0.11,0.28,Matches
Rodrigo Bentancur,uy URU,MF,28-203,20,17,1410.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.8,1.2,11.0,41.0,19.0,0.06,0.06,0.13,0.06,0.13,0.03,0.05,0.08,0.03,0.08,Matches
Cristian Romero,ar ARG,DF,27-262,17,16,1457.0,16.2,2.0,1.0,3.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,1.1,2.1,5.0,52.0,2.0,0.12,0.06,0.19,0.12,0.19,0.06,0.07,0.13,0.06,0.13,Matches
Djed Spence,eng ENG,DF,25-158,18,16,1346.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,53.0,59.0,56.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.08,0.04,0.08,Matches
João Palhinha,pt POR,MF,30-189,20,14,1304.0,14.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.3,9.0,49.0,14.0,0.21,0.14,0.35,0.21,0.35,0.07,0.02,0.09,0.07,0.09,Matches
Richarlison,br BRA,FW,28-249,21,13,1283.0,14.3,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,4.7,4.7,2.1,6.8,18.0,23.0,57.0,0.49,0.21,0.7,0.49,0.7,0.33,0.15,0.48,0.33,0.48,Matches
Xavi Simons,nl NED,"MF,FW",22-268,15,10,924.0,10.3,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.9,0.9,1.6,2.5,34.0,66.0,47.0,0.1,0.29,0.39,0.1,0.39,0.09,0.15,0.24,0.09,0.24,Matches
Randal Kolo Muani,fr FRA,FW,27-040,14,10,836.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.8,2.1,16.0,14.0,53.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.23,0.14,0.23,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,16,10,804.0,8.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.3,1.2,13.0,33.0,35.0,0.11,0.22,0.34,0.11,0.34,0.1,0.03,0.13,0.1,0.13,Matches
Archie Gray,eng ENG,MF,19-308,11,8,603.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,8.0,18.0,3.0,0.15,0.0,0.15,0.15,0.15,0.1,0.02,0.12,0.1,0.12,Matches
Pape Matar Sarr,sn SEN,MF,23-122,14,7,709.0,7.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,14.0,27.0,25.0,0.25,0.25,0.51,0.25,0.51,0.13,0.09,0.22,0.13,0.22,Matches
Kevin Danso,at AUT,DF,27-117,12,7,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,19,6,718.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.3,31.0,29.0,56.0,0.0,0.13,0.13,0.0,0.13,0.13,0.16,0.29,0.13,0.29,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,16,6,610.0,6.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.4,1.4,17.0,12.0,40.0,0.3,0.0,0.3,0.3,0.3,0.15,0.06,0.21,0.15,0.21,Matches
Destiny Udogie,it ITA,DF,23-047,10,6,609.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,21.0,37.0,45.0,0.0,0.15,0.15,0.0,0.15,0.02,0.06,0.08,0.02,0.08,Matches
Mathys Tel,fr FRA,FW,20-262,14,5,470.0,5.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.8,16.0,5.0,32.0,0.57,0.0,0.57,0.57,0.57,0.12,0.03,0.14,0.12,0.14,Matches
Ben Davies,wls WAL,DF,32-265,2,1,119.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.5,2.0,3.0,0.0,0.76,0.0,0.76,0.76,0.76,0.37,0.04,0.41,0.37,0.41,Matches
Dominic Solanke,eng ENG,FW,28-122,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches
Radu Drăgușin,ro ROU,DF,23-345,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.19,1.19,1.19,Matches
Dane Scarlett,eng ENG,FW,21-296,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Akhamrich,eng ENG,FW,20-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brandon Austin,eng ENG,GK,27-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jun'ai Byfield,eng ENG,DF,17-039,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonín Kinský,cz CZE,GK,22-307,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Callum Olusesi,eng ENG,MF,18-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Rowswell,eng ENG,DF,19-185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manor Solomon,il ISR,"FW,MF",26-174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kōta Takai,jp JPN,DF,21-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luka Vušković,hr CRO,DF,18-324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Williams Barnett,eng ENG,FW,17-105,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.9,21,231,1890.0,21.0,29.0,23.0,52.0,29.0,0.0,0.0,55.0,2.0,20.1,20.1,15.7,35.9,382.0,681.0,673.0,1.38,1.1,2.48,1.38,2.48,0.96,0.75,1.71,0.96,1.71,
Opponent Total,,,26.7,21,231,1890.0,21.0,27.0,21.0,48.0,26.0,1.0,1.0,36.0,1.0,26.7,26.0,20.4,46.4,279.0,746.0,737.0,1.29,1.0,2.29,1.24,2.24,1.27,0.97,2.25,1.24,2.21,
