Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
João Gomes,br BRA,MF,24-336,20,18,1594.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.0,27.0,90.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,16,16,1389.0,15.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.8,2.7,10.0,67.0,10.0,0.13,0.06,0.19,0.13,0.19,0.13,0.05,0.18,0.13,0.18,Matches
André,br BRA,MF,24-182,20,15,1425.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.5,0.7,11.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,19,14,1313.0,14.6,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.8,1.2,0.6,1.8,4.0,13.0,48.0,0.07,0.07,0.14,0.0,0.07,0.19,0.04,0.23,0.08,0.12,Matches
Jhon Arias,co COL,"FW,MF",28-115,20,13,1048.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.3,3.3,0.6,3.9,19.0,33.0,45.0,0.09,0.0,0.09,0.09,0.09,0.28,0.05,0.33,0.28,0.33,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,18,12,1163.0,12.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.3,1.7,46.0,32.0,70.0,0.0,0.08,0.08,0.0,0.08,0.03,0.1,0.13,0.03,0.13,Matches
Sam Johnstone,eng ENG,GK,32-295,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toti Gomes,pt POR,DF,26-363,13,12,949.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.2,6.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches
Santiago Bueno,uy URU,DF,27-066,12,11,1025.0,11.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.1,1.6,4.0,30.0,1.0,0.18,0.0,0.18,0.18,0.18,0.14,0.01,0.14,0.14,0.14,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,13,11,1011.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2,0.6,5.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,16,11,882.0,9.8,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.1,1.3,0.8,2.1,18.0,23.0,51.0,0.2,0.1,0.31,0.1,0.2,0.22,0.08,0.3,0.14,0.22,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,20,10,1110.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.3,1.6,22.0,16.0,68.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13,Matches
Yerson Mosquera,co COL,DF,24-257,12,10,866.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.3,1.0,5.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,13,9,875.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.5,2.1,11.0,18.0,37.0,0.1,0.1,0.21,0.1,0.21,0.17,0.05,0.22,0.17,0.22,Matches
José Sá,pt POR,GK,32-362,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,14,9,689.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,26.0,40.0,22.0,0.13,0.0,0.13,0.13,0.13,0.11,0.05,0.16,0.11,0.16,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,14,8,707.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.6,1.8,14.0,18.0,36.0,0.0,0.25,0.25,0.0,0.25,0.02,0.21,0.22,0.02,0.22,Matches
Matt Doherty,ie IRL,DF,33-363,8,8,598.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,3.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches
Tolu Arokodare,ng NGA,FW,25-052,17,7,673.0,7.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.1,9.0,6.0,28.0,0.13,0.0,0.13,0.13,0.13,0.2,0.08,0.28,0.2,0.28,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,8,6,425.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,9.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Mateus Mane,pt POR,MF,18-120,10,4,452.0,5.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,13.0,14.0,32.0,0.4,0.2,0.6,0.4,0.6,0.11,0.05,0.16,0.11,0.16,Matches
