Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,21,1867.0,89.0,98.8,20.7,21,89.0,18,0,,0,2.05,32.0,24.0,8.0,0.39,-3.53,22.3,29.5,-7.2,-0.35,-8.62,Matches
Ezri Konsa,eng ENG,DF,28-083,20,1775.0,89.0,93.9,19.7,20,89.0,19,0,,0,2.15,33.0,23.0,10.0,0.51,1.29,23.8,28.6,-4.8,-0.24,-0.01,Matches
Matty Cash,pl POL,DF,28-160,20,1770.0,89.0,93.7,19.7,20,89.0,16,0,,0,2.15,31.0,19.0,12.0,0.61,2.86,21.5,26.1,-4.6,-0.23,0.11,Matches
John McGinn,sct SCO,"FW,MF",31-088,21,1574.0,75.0,83.3,17.5,20,76.0,5,1,45.0,0,2.05,26.0,21.0,5.0,0.29,-0.85,18.9,25.8,-6.8,-0.39,-0.89,Matches
Ollie Watkins,eng ENG,FW,30-015,21,1563.0,74.0,82.7,17.4,18,81.0,7,3,33.0,0,2.05,28.0,21.0,7.0,0.4,-0.15,21.6,24.4,-2.8,-0.16,0.45,Matches
Emiliano Martínez,ar ARG,GK,33-134,17,1485.0,87.0,78.6,16.5,17,87.0,16,0,,0,2.12,26.0,16.0,10.0,0.61,0.83,19.8,21.9,-2.1,-0.13,0.52,Matches
Boubacar Kamara,fr FRA,MF,26-052,18,1411.0,78.0,74.7,15.7,17,82.0,9,1,19.0,0,2.33,26.0,15.0,11.0,0.7,1.08,16.4,20.3,-3.9,-0.25,-0.04,Matches
Lucas Digne,fr FRA,DF,32-178,20,1198.0,60.0,63.4,13.3,14,79.0,7,6,15.0,1,2.0,18.0,12.0,6.0,0.45,0.06,13.8,18.0,-4.2,-0.31,-0.2,Matches
Youri Tielemans,be BEL,MF,28-252,15,1134.0,76.0,60.0,12.6,13,84.0,9,2,21.0,0,2.0,18.0,16.0,2.0,0.16,-0.67,15.6,20.1,-4.4,-0.35,-0.28,Matches
Amadou Onana,be BEL,MF,24-151,14,888.0,63.0,47.0,9.9,11,76.0,4,3,16.0,0,2.21,16.0,11.0,5.0,0.51,0.15,10.3,13.7,-3.4,-0.35,-0.2,Matches
Pau Torres,es ESP,DF,28-363,12,954.0,80.0,50.5,10.6,10,88.0,8,2,38.0,4,2.25,20.0,11.0,9.0,0.85,0.85,12.3,13.8,-1.5,-0.14,0.2,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,19,769.0,40.0,40.7,8.5,9,56.0,0,10,26.0,1,2.21,10.0,8.0,2.0,0.23,-0.33,8.3,12.9,-4.6,-0.54,-0.5,Matches
Ian Maatsen,nl NED,DF,23-310,15,698.0,47.0,36.9,7.8,7,78.0,1,8,19.0,6,2.13,15.0,12.0,3.0,0.39,-0.07,11.2,12.1,-0.9,-0.11,0.2,Matches
Victor Lindelöf,se SWE,DF,31-181,10,569.0,57.0,30.1,6.3,6,90.0,6,4,7.0,8,2.3,12.0,9.0,3.0,0.47,0.07,10.1,10.4,-0.3,-0.05,0.27,Matches
Evann Guessand,ci CIV,FW,24-197,12,515.0,43.0,27.2,5.7,6,67.0,0,6,19.0,4,1.92,9.0,9.0,0.0,0.0,-0.59,6.2,8.3,-2.1,-0.37,-0.18,Matches
Tyrone Mings,eng ENG,DF,32-307,7,498.0,71.0,26.3,5.5,6,80.0,5,1,17.0,1,0.86,1.0,6.0,-5.0,-0.9,-1.81,4.2,8.6,-4.5,-0.81,-0.77,Matches
Donyell Malen,nl NED,FW,27-005,21,656.0,31.0,34.7,7.3,5,71.0,0,16,19.0,0,2.05,11.0,10.0,1.0,0.14,-0.45,9.9,10.4,-0.5,-0.07,0.26,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,16,440.0,28.0,23.3,4.9,4,86.0,1,12,8.0,5,2.06,9.0,6.0,3.0,0.61,0.24,8.1,7.5,0.6,0.12,0.48,Matches
Marco Bizot,nl NED,GK,34-310,5,405.0,81.0,21.4,4.5,4,90.0,4,1,45.0,16,1.6,7.0,8.0,-1.0,-0.22,-0.83,5.2,8.2,-2.9,-0.65,-0.52,Matches
Jadon Sancho,eng ENG,FW,25-295,11,311.0,28.0,16.5,3.5,2,62.0,0,9,21.0,5,2.09,7.0,2.0,5.0,1.45,1.22,6.9,3.9,2.9,0.85,1.31,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,3,98.0,33.0,5.2,1.1,1,45.0,0,2,27.0,2,1.67,2.0,2.0,0.0,0.0,-0.45,1.1,1.7,-0.5,-0.48,-0.25,Matches
Ross Barkley,eng ENG,MF,32-040,7,121.0,17.0,6.4,1.3,0,,0,7,17.0,0,2.57,3.0,0.0,3.0,2.23,1.93,2.1,1.4,0.7,0.52,0.81,Matches
Andrés García,es ESP,DF,22-341,2,31.0,16.0,1.6,0.3,0,,0,2,16.0,6,1.5,1.0,2.0,-1.0,-2.9,-3.39,2.0,1.4,0.6,1.76,2.04,Matches
Bradley Burrowes,eng ENG,DF,17-316,1,17.0,17.0,0.9,0.2,0,,0,1,17.0,2,0.0,0.0,1.0,-1.0,-5.29,-5.77,0.0,0.9,-0.9,-4.51,-4.31,Matches
George Hemmings,eng ENG,MF,18-316,1,9.0,9.0,0.5,0.1,0,,0,1,9.0,7,0.0,1.0,0.0,1.0,10.0,9.62,1.9,0.5,1.4,13.83,14.14,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,1,9.0,9.0,0.5,0.1,0,,0,1,9.0,7,0.0,1.0,0.0,1.0,10.0,9.62,1.9,0.5,1.4,13.83,14.14,Matches
Benjamin Broggio,eng ENG,FW,18-350,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Theodore Carroll,eng ENG,MF,18-298,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ronnie Hollingshead,wls WAL,GK,21-127,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Samuel Iling-Junior,eng ENG,"DF,MF",22-102,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Travis Patterson,eng ENG,DF,20-100,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sam Proctor,eng ENG,GK,19-024,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Leon Routh,eng ENG,DF,18-045,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Triston Rowe,eng ENG,DF,19-241,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
James Wright,eng ENG,GK,21-043,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,28.4,21,1890.0,90.0,100.0,21.0,231,82.0,135,99,19.0,90,2.05,33.0,24.0,9.0,0.43,,25.0,30.1,-5.1,-0.24,,
Opponent Total,,,26.5,21,1890.0,90.0,100.0,21.0,231,82.0,146,87,19.0,101,0.76,24.0,33.0,-9.0,-0.43,,30.1,25.0,5.1,0.24,,
