Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.24,34.0,40.0,-6.0,-0.29,,32.0,31.2,0.8,0.04,,Matches
Adrien Truffert,fr FRA,DF,24-055,21,1849.0,88.0,97.8,20.5,21,88.0,19,0,,0,1.24,34.0,37.0,-3.0,-0.15,6.44,30.9,29.0,2.0,0.1,2.58,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20,1798.0,90.0,95.1,20.0,20,90.0,18,0,,0,1.25,32.0,38.0,-6.0,-0.3,-0.3,28.1,30.6,-2.4,-0.12,-3.29,Matches
Marcos Senesi,ar ARG,DF,28-249,20,1758.0,88.0,93.0,19.5,20,88.0,18,0,,0,1.3,31.0,39.0,-8.0,-0.41,-1.77,30.8,29.3,1.5,0.08,0.55,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,21,1691.0,81.0,89.5,18.8,19,86.0,9,2,31.0,0,1.24,29.0,36.0,-7.0,-0.37,-0.82,30.0,26.9,3.1,0.17,1.22,Matches
Alex Scott,eng ENG,MF,22-146,21,1410.0,67.0,74.6,15.7,18,72.0,4,3,39.0,0,1.24,27.0,28.0,-1.0,-0.06,0.87,23.5,23.7,-0.2,-0.01,-0.19,Matches
Evanilson,br BRA,FW,26-100,19,1407.0,74.0,74.4,15.6,16,81.0,5,3,35.0,0,1.16,24.0,28.0,-4.0,-0.26,0.12,26.7,19.2,7.5,0.48,1.72,Matches
Bafodé Diakité,fr FRA,DF,25-008,16,1264.0,79.0,66.9,14.0,15,84.0,13,1,4.0,4,1.19,21.0,26.0,-5.0,-0.36,-0.21,17.4,21.8,-4.4,-0.31,-1.06,Matches
Tyler Adams,us USA,MF,26-334,15,1195.0,80.0,63.2,13.3,15,80.0,7,0,,0,1.33,16.0,23.0,-7.0,-0.53,-0.66,16.7,17.7,-1.0,-0.08,-0.31,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,17,1155.0,68.0,61.1,12.8,13,80.0,6,4,29.0,1,1.18,23.0,27.0,-4.0,-0.31,-0.07,20.6,22.3,-1.7,-0.13,-0.44,Matches
