Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.57,35.0,28.0,7.0,0.33,,33.8,28.0,5.8,0.27,,Matches
Michael Kayode,it ITA,DF,21-188,21,1828.0,87.0,96.7,20.3,21,87.0,16,0,,0,1.57,34.0,27.0,7.0,0.34,0.34,32.3,27.3,5.0,0.25,-0.88,Matches
Nathan Collins,ie IRL,DF,24-259,21,1817.0,87.0,96.1,20.2,20,90.0,20,1,17.0,0,1.57,35.0,27.0,8.0,0.4,1.63,33.5,26.9,6.6,0.33,1.35,Matches
Thiago,br BRA,FW,24-202,21,1752.0,83.0,92.7,19.5,20,86.0,13,1,31.0,0,1.57,32.0,26.0,6.0,0.31,-0.34,31.4,26.7,4.6,0.24,-0.48,Matches
Kevin Schade,de GER,FW,24-048,20,1645.0,82.0,87.0,18.3,19,84.0,12,1,45.0,0,1.6,30.0,18.0,12.0,0.66,2.49,30.4,21.8,8.6,0.47,1.52,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,21,1567.0,75.0,82.9,17.4,19,82.0,10,2,9.0,0,1.57,29.0,24.0,5.0,0.29,-0.27,25.7,23.5,2.1,0.12,-0.88,Matches
Sepp van den Berg,nl NED,DF,24-025,17,1530.0,90.0,81.0,17.0,17,90.0,17,0,,3,1.35,24.0,25.0,-1.0,-0.06,-2.06,23.7,22.2,1.5,0.09,-0.97,Matches
Jordan Henderson,eng ENG,MF,35-211,20,1354.0,68.0,71.6,15.0,15,84.0,8,5,19.0,1,1.5,21.0,21.0,0.0,0.0,-1.18,23.3,18.1,5.2,0.35,0.25,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,18,1166.0,65.0,61.7,13.0,13,80.0,4,5,26.0,1,1.72,24.0,19.0,5.0,0.39,0.14,22.5,17.5,5.0,0.39,0.29,Matches
Dango Ouattara,bf BFA,FW,23-337,15,1062.0,71.0,56.2,11.8,12,83.0,4,3,22.0,0,1.33,16.0,15.0,1.0,0.08,-0.57,16.6,14.2,2.4,0.2,-0.16,Matches
Kristoffer Ajer,no NOR,DF,27-272,15,973.0,65.0,51.5,10.8,11,85.0,7,4,10.0,5,1.4,18.0,15.0,3.0,0.28,-0.12,18.6,14.4,4.2,0.39,0.23,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,19,912.0,48.0,48.3,10.1,10,77.0,3,9,16.0,2,1.58,13.0,15.0,-2.0,-0.2,-1.03,13.8,15.5,-1.7,-0.17,-0.86,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,19,772.0,41.0,40.8,8.6,9,71.0,0,10,13.0,2,1.74,16.0,9.0,7.0,0.82,0.82,14.3,11.5,2.8,0.32,0.09,Matches
Vitaly Janelt,de GER,MF,27-249,16,766.0,48.0,40.5,8.5,7,84.0,5,9,20.0,2,1.63,19.0,7.0,12.0,1.41,1.81,17.5,11.1,6.4,0.75,0.8,Matches
Rico Henry,jm JAM,DF,28-190,17,719.0,42.0,38.0,8.0,6,84.0,3,11,19.0,4,1.76,19.0,11.0,8.0,1.0,1.08,14.4,14.6,-0.1,-0.02,-0.47,Matches
Aaron Hickey,sct SCO,DF,23-218,13,514.0,40.0,27.2,5.7,6,74.0,1,7,10.0,4,1.77,8.0,6.0,2.0,0.35,0.02,10.9,4.9,6.0,1.05,1.06,Matches
Ethan Pinnock,jm JAM,DF,32-230,3,228.0,76.0,12.1,2.5,3,76.0,0,0,,16,0.33,2.0,5.0,-3.0,-1.18,-1.73,1.4,3.1,-1.8,-0.7,-1.1,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,6,102.0,17.0,5.4,1.1,1,90.0,1,5,2.0,4,0.17,2.0,4.0,-2.0,-1.76,-2.22,2.1,2.0,0.1,0.09,-0.19,Matches
Antoni Milambo,nl NED,MF,20-286,1,45.0,45.0,2.4,0.5,1,45.0,0,0,,3,0.0,0.0,3.0,-3.0,-6.0,-6.49,0.3,1.4,-1.1,-2.22,-2.56,Matches
Frank Onyeka,ng NGA,MF,28-013,6,92.0,15.0,4.9,1.0,0,,0,6,15.0,10,1.5,3.0,2.0,1.0,0.98,0.68,1.5,2.0,-0.5,-0.46,-0.77,Matches
Reiss Nelson,eng ENG,FW,26-035,6,55.0,9.0,2.9,0.6,0,,0,6,9.0,5,2.17,5.0,1.0,4.0,6.55,6.4,3.5,1.2,2.3,3.77,3.6,Matches
Myles Peart-Harris,eng ENG,FW,23-118,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,4,3.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,-0.27,Matches
Benjamin Arthur,eng ENG,DF,20-097,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Romelle Donovan,eng ENG,FW,19-045,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Yunus Emre Konak,tr TUR,MF,20-004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Gustavo Nunes,br BRA,MF,20-055,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mads Roerslev,dk DEN,"DF,MF",26-204,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Hákon Valdimarsson,is ISL,GK,24-093,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Squad Total,,,25.7,21,1890.0,90.0,100.0,21.0,231,84.0,145,86,16.0,103,1.57,35.0,28.0,7.0,0.33,,33.8,28.0,5.8,0.27,,
Opponent Total,,,26.7,21,1890.0,90.0,100.0,21.0,231,84.0,143,88,22.0,101,1.29,28.0,35.0,-7.0,-0.33,,28.0,33.8,-5.8,-0.27,,
