Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,20,1740.0,87.0,92.1,19.3,20,87.0,18,0,,0,1.4,32.0,20.0,12.0,0.62,1.82,35.0,23.9,11.0,0.57,2.2,Matches
Robert Sánchez,es ESP,GK,28-057,20,1714.0,86.0,90.7,19.0,20,86.0,19,0,,0,1.5,32.0,21.0,11.0,0.58,1.09,34.5,25.7,8.9,0.47,0.73,Matches
Enzo Fernández,ar ARG,MF,24-362,20,1701.0,85.0,90.0,18.9,19,88.0,16,1,37.0,0,1.4,29.0,21.0,8.0,0.42,-0.53,34.0,23.5,10.5,0.55,1.58,Matches
Pedro Neto,pt POR,FW,25-311,21,1639.0,78.0,86.7,18.2,19,82.0,11,2,45.0,0,1.48,29.0,15.0,14.0,0.77,2.2,31.1,20.7,10.4,0.57,1.3,Matches
Marc Cucurella,es ESP,DF,27-176,19,1525.0,80.0,80.7,16.9,18,82.0,14,1,45.0,0,1.53,29.0,17.0,12.0,0.71,1.2,30.2,21.7,8.5,0.5,0.53,Matches
João Pedro,br BRA,"FW,MF",24-110,21,1525.0,73.0,80.7,16.9,18,80.0,8,3,26.0,0,1.48,27.0,17.0,10.0,0.59,0.59,28.1,20.6,7.5,0.44,0.22,Matches
Moisés Caicedo,ec ECU,MF,24-073,16,1342.0,84.0,71.0,14.9,15,86.0,14,1,45.0,1,1.44,27.0,19.0,8.0,0.54,0.21,28.3,20.7,7.6,0.51,0.39,Matches
Reece James,eng ENG,"DF,MF",26-037,20,1365.0,68.0,72.2,15.2,14,86.0,12,6,27.0,1,1.55,20.0,16.0,4.0,0.26,-0.76,23.7,21.4,2.3,0.15,-0.89,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,19,1221.0,64.0,64.6,13.6,13,82.0,7,6,26.0,1,1.58,27.0,14.0,13.0,0.96,1.36,25.5,20.2,5.3,0.39,-0.02,Matches
Alejandro Garnacho,ar ARG,FW,21-197,13,761.0,59.0,40.3,8.5,10,67.0,2,3,29.0,5,1.54,15.0,10.0,5.0,0.59,0.19,14.6,13.5,1.0,0.12,-0.46,Matches
Wesley Fofana,fr FRA,DF,25-028,10,758.0,76.0,40.1,8.4,9,82.0,6,1,22.0,5,1.7,11.0,8.0,3.0,0.36,-0.2,13.9,11.5,2.4,0.28,-0.19,Matches
Cole Palmer,eng ENG,"MF,FW",23-253,11,664.0,60.0,35.1,7.4,9,67.0,2,2,33.0,1,0.82,11.0,10.0,1.0,0.14,-0.53,13.8,12.7,1.1,0.15,-0.39,Matches
Estêvão Willian,br BRA,FW,18-265,17,610.0,36.0,32.3,6.8,8,54.0,0,9,19.0,2,1.53,14.0,8.0,6.0,0.89,0.6,14.6,7.3,7.3,1.07,0.99,Matches
