Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Luke Shaw,eng ENG,DF,30-186,21,1817.0,87.0,96.1,20.2,21,87.0,12,0,,0,1.52,35.0,29.0,6.0,0.3,2.76,35.4,24.6,10.8,0.53,0.05,Matches
Bruno Fernandes,pt POR,MF,31-128,18,1535.0,85.0,81.2,17.1,18,85.0,14,0,,0,1.5,33.0,28.0,5.0,0.29,0.55,32.3,22.5,9.8,0.58,0.23,Matches
Casemiro,br BRA,MF,33-325,19,1301.0,68.0,68.8,14.5,18,72.0,5,1,11.0,0,1.68,26.0,16.0,10.0,0.69,1.61,26.1,15.0,11.1,0.77,0.76,Matches
Diogo Dalot,pt POR,DF,26-302,19,1407.0,74.0,74.4,15.6,16,83.0,11,3,28.0,0,1.53,32.0,26.0,6.0,0.38,0.76,29.6,20.4,9.2,0.59,0.22,Matches
Bryan Mbeumo,cm CMR,MF,26-160,16,1403.0,88.0,74.2,15.6,16,88.0,12,0,,0,1.63,30.0,25.0,5.0,0.32,0.51,29.4,20.8,8.6,0.55,0.08,Matches
Matheus Cunha,br BRA,"MF,FW",26-232,18,1372.0,76.0,72.6,15.2,16,83.0,11,2,26.0,0,1.61,26.0,21.0,5.0,0.33,0.5,26.1,19.0,7.1,0.47,-0.24,Matches
Senne Lammens,be BEL,GK,23-191,15,1350.0,90.0,71.4,15.0,15,90.0,15,0,,3,1.67,29.0,21.0,8.0,0.53,1.2,25.9,17.3,8.6,0.57,0.15,Matches
Amad Diallo,ci CIV,"DF,MF",23-187,15,1203.0,80.0,63.7,13.4,14,83.0,10,1,36.0,0,1.73,26.0,18.0,8.0,0.6,1.12,25.9,15.6,10.3,0.77,0.64,Matches
Matthijs de Ligt,nl NED,DF,26-155,13,1170.0,90.0,61.9,13.0,13,90.0,13,0,,0,1.62,21.0,20.0,1.0,0.08,-0.3,21.1,18.4,2.7,0.21,-0.85,Matches
Patrick Dorgu,dk DEN,"DF,FW",21-080,20,1165.0,58.0,61.6,12.9,12,86.0,9,8,17.0,1,1.45,14.0,19.0,-5.0,-0.39,-1.5,19.7,17.1,2.6,0.2,-0.86,Matches
Leny Yoro,fr FRA,DF,20-062,21,1141.0,54.0,60.4,12.7,12,77.0,3,9,24.0,0,1.52,17.0,24.0,-7.0,-0.55,-1.87,22.2,17.0,5.2,0.41,-0.31,Matches
Benjamin Šeško,si SVN,FW,22-228,17,1044.0,61.0,55.2,11.6,11,80.0,6,6,28.0,0,1.47,21.0,19.0,2.0,0.17,-0.04,18.5,14.9,3.7,0.32,-0.48,Matches
Mason Mount,eng ENG,MF,27-004,16,815.0,51.0,43.1,9.1,10,68.0,2,6,23.0,2,1.63,16.0,14.0,2.0,0.22,0.05,18.4,10.2,8.3,0.91,0.67,Matches
Ayden Heaven,eng ENG,DF,19-114,10,637.0,64.0,33.7,7.1,8,76.0,4,2,15.0,11,1.5,14.0,12.0,2.0,0.28,0.14,14.6,7.8,6.8,0.96,0.65,Matches
Manuel Ugarte,uy URU,MF,24-278,15,727.0,48.0,38.5,8.1,7,79.0,2,8,22.0,6,1.4,10.0,18.0,-8.0,-0.99,-1.92,11.1,13.0,-1.9,-0.23,-1.24,Matches
Altay Bayındır,tr TUR,GK,27-275,6,540.0,90.0,28.6,6.0,6,90.0,6,0,,15,1.17,7.0,11.0,-4.0,-0.67,-1.2,11.8,9.2,2.6,0.43,-0.15,Matches
Noussair Mazraoui,ma MAR,DF,28-061,9,442.0,49.0,23.4,4.9,6,64.0,1,3,19.0,2,1.67,10.0,5.0,5.0,1.02,1.08,8.8,4.2,4.6,0.94,0.53,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-237,14,490.0,35.0,25.9,5.4,4,76.0,2,10,19.0,7,1.43,8.0,7.0,1.0,0.18,-0.01,11.0,6.4,4.7,0.86,0.44,Matches
Lisandro Martínez,ar ARG,DF,27-361,9,458.0,51.0,24.2,5.1,4,89.0,3,5,20.0,1,1.56,8.0,6.0,2.0,0.39,0.27,9.0,4.2,4.8,0.95,0.55,Matches
Harry Maguire,eng ENG,DF,32-315,8,345.0,43.0,18.3,3.8,4,74.0,1,4,13.0,3,1.38,6.0,4.0,2.0,0.52,0.41,6.1,6.4,-0.3,-0.08,-0.75,Matches
Kobbie Mainoo,eng ENG,MF,20-270,12,238.0,20.0,12.6,2.6,0,,0,12,20.0,4,1.92,6.0,7.0,-1.0,-0.38,-0.65,9.1,4.3,4.9,1.83,1.49,Matches
Jack Fletcher,eng ENG,"MF,FW",18-301,3,108.0,36.0,5.7,1.2,0,,0,3,36.0,3,1.33,0.0,0.0,0.0,0.0,-0.2,1.4,1.8,-0.5,-0.38,-0.97,Matches
Bendito Mantato,eng ENG,FW,17-354,1,16.0,16.0,0.8,0.2,0,,0,1,16.0,3,1.0,0.0,0.0,0.0,0.0,-0.19,0.2,0.1,0.2,1.02,0.49,Matches
Shea Lacey,eng ENG,"FW,DF",18-275,2,14.0,7.0,0.7,0.2,0,,0,2,7.0,7,0.5,0.0,0.0,0.0,0.0,-0.19,0.2,0.1,0.1,0.73,0.2,Matches
Tyler Fredricson,eng ENG,DF,20-325,1,3.0,3.0,0.2,0.0,0,,0,1,3.0,9,3.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.3,-0.3,-8.9,-9.45,Matches
Tyrell Malacia,nl NED,DF,26-150,1,3.0,3.0,0.2,0.0,0,,0,1,3.0,10,3.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.3,-0.3,-8.9,-9.45,Matches
Tyler Fletcher,sct SCO,MF,18-301,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,39-274,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Godwill Kukonki,eng ENG,DF,17-342,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Diego León,py PAR,DF,18-286,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Chidozie Obi-Martin,dk DEN,FW,18-046,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
André Onana,cm CMR,GK,29-287,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.3,21,1890.0,90.0,100.0,21.0,231,82.0,142,88,21.0,101,1.52,36.0,32.0,4.0,0.19,,37.7,26.5,11.2,0.53,,
Opponent Total,,,26.6,21,1890.0,90.0,100.0,21.0,231,82.0,138,91,21.0,98,1.1,32.0,36.0,-4.0,-0.19,,26.5,37.7,-11.2,-0.53,,
