Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,20,1748.0,87.0,92.5,19.4,19,90.0,16,1,45.0,1,1.55,32.0,27.0,5.0,0.26,0.26,30.0,22.1,7.9,0.41,0.49,Matches
Sandro Tonali,it ITA,MF,25-251,21,1428.0,68.0,75.6,15.9,18,78.0,10,3,11.0,0,1.52,16.0,17.0,-1.0,-0.06,-1.23,20.3,16.7,3.6,0.23,-0.58,Matches
Malick Thiaw,de GER,DF,24-159,18,1488.0,83.0,78.7,16.5,17,87.0,15,1,10.0,3,1.5,27.0,24.0,3.0,0.18,-0.27,25.1,21.0,4.1,0.25,-0.56,Matches
Nick Woltemade,de GER,FW,23-334,18,1259.0,70.0,66.6,14.0,16,77.0,3,2,12.0,0,1.67,24.0,18.0,6.0,0.43,0.57,21.4,15.7,5.7,0.4,0.11,Matches
Nick Pope,eng ENG,GK,33-270,15,1336.0,89.0,70.7,14.8,15,89.0,14,0,,1,1.6,22.0,17.0,5.0,0.34,0.34,21.8,15.7,6.1,0.41,0.13,Matches
Dan Burn,eng ENG,DF,33-250,15,1255.0,84.0,66.4,13.9,15,84.0,12,0,,0,1.27,19.0,15.0,4.0,0.29,0.15,17.9,11.8,6.1,0.43,0.19,Matches
Joelinton,br BRA,MF,29-153,17,1226.0,72.0,64.9,13.6,15,79.0,7,2,20.0,3,1.71,25.0,17.0,8.0,0.59,0.99,23.8,16.1,7.7,0.56,0.56,Matches
Anthony Gordon,eng ENG,FW,24-324,16,998.0,62.0,52.8,11.1,14,69.0,2,2,13.0,0,1.5,14.0,15.0,-1.0,-0.09,-0.7,15.6,11.1,4.5,0.4,0.07,Matches
Jacob Murphy,eng ENG,FW,30-324,18,1010.0,56.0,53.4,11.2,12,73.0,1,6,23.0,3,1.44,16.0,9.0,7.0,0.62,0.83,16.5,11.2,5.3,0.47,0.22,Matches
Fabian Schär,ch SUI,DF,34-025,16,1091.0,68.0,57.7,12.1,11,88.0,9,5,25.0,3,1.75,16.0,13.0,3.0,0.25,0.02,18.9,13.8,5.1,0.42,0.12,Matches
