Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.67,22.0,43.0,-21.0,-1.0,,21.5,35.6,-14.1,-0.67,,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,18,1511.0,84.0,79.9,16.8,18,84.0,8,0,,0,0.67,18.0,32.0,-14.0,-0.83,0.83,17.5,24.0,-6.5,-0.39,1.42,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,19,1494.0,79.0,79.0,16.6,18,82.0,9,1,26.0,0,0.74,17.0,28.0,-11.0,-0.66,1.61,16.1,24.8,-8.7,-0.52,0.71,Matches
Max Kilman,eng ENG,DF,28-236,18,1534.0,85.0,81.2,17.0,17,90.0,17,1,4.0,3,0.78,18.0,35.0,-17.0,-1.0,0.01,18.4,30.9,-12.5,-0.73,-0.31,Matches
Alphonse Areola,fr FRA,GK,32-321,17,1530.0,90.0,81.0,17.0,17,90.0,17,0,,4,0.65,18.0,32.0,-14.0,-0.82,0.93,17.1,30.1,-13.0,-0.76,-0.48,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,16,1387.0,87.0,73.4,15.4,15,89.0,14,1,45.0,0,0.81,19.0,30.0,-11.0,-0.71,1.08,16.0,24.0,-8.0,-0.52,0.57,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,15,1250.0,83.0,66.1,13.9,15,83.0,12,0,,2,0.67,16.0,28.0,-12.0,-0.86,0.4,14.2,23.8,-9.6,-0.69,-0.07,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,16,1139.0,71.0,60.3,12.7,14,79.0,4,2,19.0,0,0.75,12.0,24.0,-12.0,-0.95,0.13,12.5,18.0,-5.6,-0.44,0.58,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,14,1093.0,78.0,57.8,12.1,11,90.0,11,3,34.0,3,0.5,11.0,21.0,-10.0,-0.82,0.42,11.5,18.7,-7.2,-0.59,0.18,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,12,1011.0,84.0,53.5,11.2,11,88.0,9,1,45.0,1,0.75,13.0,25.0,-12.0,-1.07,-0.15,11.1,19.5,-8.4,-0.75,-0.16,Matches
