Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,770,545,733,38,0,0,770,1,1,100.0,0,0.0,455,1992,1173,0,0,0,0,0,445,0,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,1468,51,264,933,275,22,1468,9,4,44.4,5,55.6,805,4361,2175,29,29,0,18,6,1015,25,Matches
Declan Rice,eng ENG,MF,27-000,18.8,1526,64,291,829,423,30,1526,18,8,44.4,8,44.4,847,5504,2814,54,39,6,25,12,996,50,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,1089,43,260,489,354,70,1089,26,10,38.5,14,53.8,572,2594,1400,34,24,6,23,18,671,94,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,787,7,58,209,531,101,786,78,34,43.6,31,39.7,470,3659,2180,77,38,37,35,16,556,205,Matches
William Saliba,fr FRA,DF,24-296,15.0,1295,91,510,716,71,9,1295,5,3,60.0,1,20.0,785,3321,1895,6,10,0,7,3,989,5,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,317,13,18,106,195,85,315,27,5,18.5,19,70.4,170,841,285,12,6,11,49,15,230,78,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,842,39,205,388,255,38,842,21,12,57.1,5,23.8,378,2075,1108,23,20,4,8,5,464,56,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,1058,123,414,545,100,22,1058,2,1,50.0,1,50.0,610,2545,1539,10,21,0,6,0,765,3,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,607,14,67,186,363,68,607,32,10,31.3,15,46.9,376,2360,1062,39,15,19,25,19,464,127,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,429,9,36,205,193,32,429,30,17,56.7,12,40.0,265,1602,757,24,15,6,13,8,309,44,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,637,9,64,328,252,25,637,16,9,56.3,7,43.8,408,3206,1539,27,37,4,7,8,490,27,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,457,24,77,228,158,27,457,12,5,41.7,6,50.0,235,911,407,14,8,3,17,16,298,33,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,675,74,261,334,83,11,675,3,1,33.3,2,66.7,384,1858,947,9,6,0,10,2,453,16,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,276,5,24,66,187,48,276,39,14,35.9,16,41.0,158,1219,802,35,7,22,14,6,190,74,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,201,5,21,59,129,31,201,18,8,44.4,8,44.4,121,916,502,21,10,7,25,9,138,39,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,365,19,155,190,22,4,365,1,0,0.0,1,100.0,247,1283,815,8,7,0,2,0,259,2,Matches
Ben White,eng ENG,DF,28-098,3.2,204,14,42,85,78,8,204,2,2,100.0,0,0.0,84,391,216,6,6,1,2,1,110,11,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,216,9,59,109,52,8,216,6,5,83.3,1,16.7,115,552,341,5,9,0,1,4,134,10,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,116,2,12,66,42,6,116,8,3,37.5,5,62.5,71,592,311,7,8,0,2,2,83,6,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,77,1,9,22,46,16,77,10,3,30.0,4,40.0,36,256,149,8,3,3,7,5,45,10,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,30,8,15,12,3,0,30,0,0,,0,,9,41,13,0,0,0,0,0,13,0,Matches
Kai Havertz,de GER,FW,26-217,0.3,16,0,2,5,10,1,16,4,1,25.0,1,25.0,11,75,21,1,1,1,1,1,12,2,Matches
Max Dowman,eng ENG,FW,16-014,0.3,19,0,1,4,14,8,19,7,1,14.3,5,71.4,13,169,71,4,1,3,1,2,12,6,Matches
Squad Total,,,26.5,21.0,13477,1169,3598,6152,3836,670,13474,375,157,41.9,167,44.5,7625,42323,22522,453,320,133,298,158,9141,923,
Opponent Total,,,26.8,21.0,10576,1659,4235,4473,1974,305,10576,312,124,39.7,142,45.5,5648,28357,13889,251,189,66,311,190,6250,517,
