Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,849,29,132,348,380,85,849,77,25,32.5,45,58.4,554,3029,1673,49,24,18,76,46,638,133,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,1411,203,690,675,53,14,1411,11,6,54.5,4,36.4,928,4719,2733,10,6,0,9,4,1048,5,Matches
Matty Cash,pl POL,DF,28-160,19.7,1215,81,390,493,341,20,1215,15,6,40.0,5,33.3,665,3137,1289,27,27,3,8,11,718,86,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,782,27,123,367,299,33,782,33,10,30.3,15,45.5,446,2344,869,24,22,5,29,39,533,67,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,434,12,36,173,232,94,434,37,17,45.9,18,48.6,253,1460,695,34,12,27,37,25,324,110,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,733,586,721,12,0,0,733,0,0,,0,,472,2043,1306,0,0,0,0,0,419,0,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,988,65,250,559,185,11,988,36,14,38.9,17,47.2,576,2582,1210,10,8,0,14,15,678,9,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,747,33,236,251,263,17,747,11,3,27.3,6,54.5,352,1348,631,14,15,1,12,6,412,82,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,868,34,162,495,221,24,868,16,9,56.3,4,25.0,491,2040,926,17,12,3,19,11,607,26,Matches
Amadou Onana,be BEL,MF,24-151,9.9,541,59,175,298,75,9,541,13,6,46.2,5,38.5,298,1503,618,11,10,0,13,5,337,4,Matches
Pau Torres,es ESP,DF,28-363,10.6,732,157,370,329,38,7,732,9,5,55.6,3,33.3,449,2718,1660,10,10,0,5,3,474,3,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,436,19,88,186,169,39,436,19,5,26.3,13,68.4,228,1131,712,19,15,5,9,21,260,37,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,538,38,184,196,164,23,538,25,13,52.0,9,36.0,296,1542,683,14,12,3,18,15,317,49,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,429,100,262,156,12,3,429,0,0,,0,,258,1414,829,3,5,0,1,1,283,0,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,181,7,37,72,77,18,181,24,7,29.2,16,66.7,107,704,332,12,3,5,8,16,110,28,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,403,70,177,203,26,7,403,3,2,66.7,1,33.3,250,1377,748,1,5,0,1,1,260,3,Matches
Donyell Malen,nl NED,FW,27-005,7.3,183,5,12,57,116,43,183,24,8,33.3,12,50.0,102,662,259,13,7,6,11,13,122,35,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,304,26,96,171,40,2,304,12,2,16.7,5,41.7,196,911,435,5,6,0,5,3,217,3,Matches
Marco Bizot,nl NED,GK,34-310,4.5,197,160,195,2,0,0,197,0,0,,0,,127,535,232,0,0,0,1,0,107,0,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,176,7,23,53,101,18,176,13,5,38.5,8,61.5,111,608,326,10,4,4,5,5,129,37,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,74,1,6,29,40,5,74,2,0,0.0,0,0.0,52,273,121,3,5,0,2,0,58,11,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,68,4,16,36,17,5,68,2,0,0.0,1,50.0,35,282,158,5,4,0,2,3,44,4,Matches
Andrés García,es ESP,DF,22-341,0.3,26,1,4,13,9,0,26,1,0,0.0,1,100.0,16,115,65,1,2,0,1,0,17,5,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,12,0,3,3,6,0,12,2,0,0.0,1,50.0,7,68,23,1,1,0,0,0,6,4,Matches
George Hemmings,eng ENG,MF,18-316,0.1,8,0,1,5,2,0,8,0,0,,0,,7,37,7,0,0,0,0,0,7,0,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,10,1,2,5,3,0,10,1,0,0.0,1,100.0,7,43,7,0,0,0,0,0,7,0,Matches
Squad Total,,,28.4,21.0,12345,1725,4391,5187,2869,477,12345,386,143,37.0,190,49.2,7283,36625,18547,293,215,80,286,243,8132,741,
Opponent Total,,,26.5,21.0,11358,1237,3466,5074,2928,510,11356,336,145,43.2,152,45.2,6372,32758,17144,367,238,103,287,173,7174,713,
