Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,901,773,894,7,0,0,901,0,0,,0,,590,2399,1280,0,0,0,0,0,534,0,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,1734,222,865,804,66,26,1734,6,6,100.0,0,0.0,1021,5142,3083,10,11,1,10,3,1193,5,Matches
Sander Berge,no NOR,MF,27-334,19.1,1179,63,311,718,151,10,1179,14,5,35.7,9,64.3,676,3681,1885,32,23,3,17,11,798,16,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,674,31,115,232,335,66,674,21,10,47.6,9,42.9,396,1987,817,21,18,12,26,13,461,111,Matches
Kenny Tete,nl NED,DF,30-097,14.9,989,69,344,461,194,16,989,20,5,25.0,11,55.0,446,2081,959,18,13,1,15,15,550,30,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,879,21,161,462,270,22,879,28,9,32.1,17,60.7,584,3359,1742,51,36,8,22,12,659,69,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,505,21,63,256,188,66,504,18,5,27.8,12,66.7,250,1025,344,8,4,2,37,15,360,62,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,1116,135,568,506,46,6,1116,14,7,50.0,5,35.7,705,3840,2279,19,7,1,9,10,773,4,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,633,44,133,322,186,23,633,6,2,33.3,2,33.3,314,1551,846,22,16,3,12,7,363,44,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,754,56,269,293,197,36,754,14,4,28.6,10,71.4,345,1879,908,29,24,9,22,9,388,62,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,343,9,50,168,135,38,343,28,11,39.3,13,46.4,211,1640,742,24,22,6,30,12,240,56,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,609,13,83,290,240,37,609,15,5,33.3,9,60.0,392,1890,988,28,18,8,17,14,475,61,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,502,37,193,157,152,17,502,2,1,50.0,1,50.0,245,980,419,13,7,1,9,1,294,51,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,446,72,270,165,11,3,446,4,2,50.0,2,50.0,264,1218,736,2,6,0,2,0,283,0,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,416,9,62,140,226,42,416,68,34,50.0,30,44.1,235,1848,1148,51,27,20,16,17,277,81,Matches
Antonee Robinson,us USA,DF,28-159,6.5,513,27,155,174,186,14,513,9,4,44.4,4,44.4,253,1345,661,21,12,2,12,3,305,62,Matches
Issa Diop,fr FRA,DF,29-005,4.6,250,35,137,105,8,3,250,1,1,100.0,0,0.0,151,709,375,2,1,0,8,0,173,0,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,101,10,10,49,43,18,101,8,3,37.5,5,62.5,49,110,33,0,1,0,20,4,71,11,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,394,13,88,213,97,9,394,6,2,33.3,3,50.0,252,1225,615,5,10,0,9,2,312,6,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,232,7,36,86,111,27,232,27,14,51.9,9,33.3,155,1183,544,19,9,9,6,8,168,44,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,128,0,8,43,78,16,128,13,6,46.2,4,30.8,83,660,332,15,4,5,12,7,101,29,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,16,0,0,5,12,4,16,0,0,,0,,10,52,37,1,1,0,2,0,9,3,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,12,0,1,7,4,0,12,0,0,,0,,6,40,13,0,1,0,1,0,8,0,Matches
Squad Total,,,28.7,21.0,13326,1667,4816,5663,2936,499,13325,322,136,42.2,155,48.1,7633,39844,20786,391,271,91,314,163,8795,807,
Opponent Total,,,26.5,21.0,12725,1264,3930,5759,3142,509,12722,324,119,36.7,169,52.2,7340,37034,18379,332,233,106,366,193,8255,832,
