Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,943,651,924,20,0,0,943,0,0,,0,,594,3092,1624,0,0,0,0,0,451,0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,1344,100,327,797,233,11,1344,13,6,46.2,7,53.8,696,3053,1372,20,16,0,15,11,771,19,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,942,78,297,430,218,23,942,10,2,20.0,7,70.0,411,1680,886,18,13,1,17,5,480,49,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,1168,141,448,480,251,27,1168,15,5,33.3,7,46.7,519,2718,1453,12,14,2,22,7,534,50,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,849,30,158,381,317,33,846,30,8,26.7,19,63.3,446,2107,958,32,19,8,41,14,521,83,Matches
Omar Alderete,py PAR,DF,29-019,16.3,902,123,447,398,62,30,902,14,10,71.4,3,21.4,519,3117,2086,15,13,1,7,11,568,4,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,695,28,165,375,163,9,695,27,15,55.6,10,37.0,424,2299,1052,30,18,3,24,9,451,39,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,783,140,428,299,60,44,783,0,0,,0,,423,2546,1554,6,5,0,4,1,463,4,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,604,48,213,294,102,8,604,15,6,40.0,6,40.0,320,1599,765,18,19,2,11,7,342,25,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,194,12,36,69,93,45,194,20,6,30.0,14,70.0,99,589,248,9,7,8,14,12,126,44,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,531,56,211,266,56,5,531,9,6,66.7,3,33.3,297,1490,727,6,8,4,11,3,339,6,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,334,12,58,116,170,27,334,14,9,64.3,5,35.7,216,1294,713,24,13,6,19,4,235,55,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,290,7,45,106,142,16,290,27,7,25.9,19,70.4,180,1257,636,25,14,4,12,12,204,67,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,272,11,45,103,126,20,272,24,14,58.3,8,33.3,171,905,403,12,10,5,22,9,188,50,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,170,5,21,69,82,25,170,5,0,0.0,2,40.0,86,306,121,3,1,4,26,11,124,28,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,133,5,27,58,48,7,133,5,1,20.0,2,40.0,78,301,108,2,4,0,6,4,83,21,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,110,4,17,48,50,17,110,16,8,50.0,7,43.8,70,489,251,10,8,4,11,15,82,20,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,153,5,23,76,59,10,153,5,1,20.0,4,80.0,112,532,252,10,8,3,1,3,122,18,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,121,10,47,60,15,1,121,3,2,66.7,1,33.3,55,340,220,5,3,0,3,3,66,6,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,83,4,25,42,19,2,83,4,2,50.0,2,50.0,46,214,100,2,3,0,2,1,51,5,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,125,16,47,73,6,0,125,0,0,,0,,88,524,358,2,1,0,0,1,85,0,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,79,1,15,25,40,8,79,8,4,50.0,4,50.0,43,306,176,8,2,2,11,3,48,15,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,22,0,1,14,9,1,22,1,1,100.0,0,0.0,16,67,30,1,1,1,0,0,20,4,Matches
Marc Guiu,es ESP,FW,20-010,0.2,8,0,2,2,4,2,8,0,0,,0,,2,2,1,0,0,0,0,0,4,1,Matches
Dan Neil,eng ENG,MF,24-032,0.2,13,2,5,7,1,0,13,0,0,,0,,5,26,11,0,1,0,0,0,8,1,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,17,0,6,10,1,0,17,0,0,,0,,13,153,105,2,0,0,0,0,13,0,Matches
Squad Total,,,25.9,21.0,10885,1489,4038,4618,2327,371,10882,265,113,42.6,130,49.1,5929,31006,16210,272,201,58,279,146,6379,614,
Opponent Total,,,26.8,21.0,13813,1354,4193,5844,3891,637,13812,376,142,37.8,195,51.9,7990,39408,20913,432,308,116,280,148,9239,916,
