Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,889,646,876,13,0,0,889,0,0,,0,,552,2452,1329,0,0,0,0,0,517,0,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,1268,197,698,519,60,21,1268,11,6,54.5,4,36.4,715,3416,1738,14,10,0,10,3,839,3,Matches
Pedro Porro,es ESP,DF,26-123,18.8,1400,67,469,566,377,21,1400,25,10,40.0,11,44.0,665,3183,1671,38,30,2,16,3,776,50,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,800,9,94,286,446,54,800,108,52,48.1,50,46.3,480,3338,1443,58,32,17,59,54,540,134,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,935,74,300,496,151,20,935,23,13,56.5,9,39.1,469,2256,963,11,9,0,16,5,566,19,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,1073,144,548,476,60,27,1073,8,6,75.0,2,25.0,567,2509,1378,5,9,1,10,5,633,2,Matches
Djed Spence,eng ENG,DF,25-158,15.0,892,48,264,407,232,17,892,49,18,36.7,26,53.1,503,3404,1892,53,30,8,23,16,538,56,Matches
João Palhinha,pt POR,MF,30-189,14.5,822,41,235,483,115,24,822,18,6,33.3,8,44.4,348,1453,654,9,5,1,17,19,474,14,Matches
Richarlison,br BRA,FW,28-249,14.3,416,39,67,160,193,76,416,16,7,43.8,8,50.0,214,882,333,18,5,10,40,17,271,57,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,573,9,77,276,233,16,573,40,12,30.0,18,45.0,310,2082,1042,34,30,6,33,16,372,47,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,263,12,52,83,136,32,263,37,13,35.1,24,64.9,160,919,412,16,10,4,35,16,190,53,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,389,12,67,183,145,21,389,19,12,63.2,6,31.6,200,1479,655,13,16,3,15,5,221,35,Matches
Archie Gray,eng ENG,MF,19-308,6.7,291,24,76,151,67,11,291,4,2,50.0,2,50.0,158,809,362,8,8,2,7,4,179,3,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,419,24,97,226,100,14,419,10,4,40.0,5,50.0,224,1417,634,14,13,2,10,7,262,25,Matches
Kevin Danso,at AUT,DF,27-117,6.5,512,75,263,211,40,3,512,0,0,,0,,259,1352,790,4,3,0,4,3,289,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,351,8,48,123,183,29,351,33,17,51.5,12,36.4,213,1576,804,31,15,8,29,13,242,56,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,240,14,44,84,115,20,240,11,3,27.3,7,63.6,120,789,402,17,7,6,13,3,149,40,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,452,19,106,230,124,22,452,16,3,18.8,8,50.0,240,1448,842,21,11,6,13,6,268,45,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,188,3,22,74,95,19,188,21,10,47.6,7,33.3,118,831,330,16,5,9,19,5,124,32,Matches
Ben Davies,wls WAL,DF,32-265,1.3,83,6,31,26,26,2,83,0,0,,0,,42,165,81,2,1,0,0,1,47,0,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,11,1,3,2,6,4,11,0,0,,0,,5,15,1,0,0,0,2,0,6,2,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,9,1,4,3,3,1,9,0,0,,0,,2,10,0,0,0,0,0,0,2,0,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,2,0,0,2,0,0,2,0,0,,0,,3,11,0,0,0,0,1,1,3,0,Matches
Squad Total,,,25.9,21.0,12278,1473,4441,5080,2907,454,12278,449,194,43.2,207,46.1,6567,35796,17756,382,249,85,372,202,7508,673,
Opponent Total,,,26.7,21.0,11948,1372,3869,5290,2906,454,11947,369,133,36.0,191,51.8,6349,30125,14804,279,207,79,340,223,7287,737,
