Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrien Truffert,fr FRA,DF,24-055,20.5,0,9,1,11.1,0.44,0.05,0.0,0.0,20.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20.0,10,47,25,53.2,2.35,1.25,0.19,0.36,17.5,1,1,2,6.7,5.1,0.11,3.3,3.9,Matches
Marcos Senesi,ar ARG,DF,28-249,19.5,0,8,3,37.5,0.41,0.15,0.0,0.0,19.8,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,18.8,4,40,11,27.5,2.13,0.59,0.08,0.27,21.2,4,1,1,4.2,3.4,0.09,-0.2,-0.4,Matches
Alex Scott,eng ENG,MF,22-146,15.7,1,20,5,25.0,1.28,0.32,0.05,0.2,21.6,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Evanilson,br BRA,FW,26-100,15.6,4,37,12,32.4,2.37,0.77,0.11,0.33,12.4,0,0,0,5.3,5.3,0.14,-1.3,-1.3,Matches
Bafodé Diakité,fr FRA,DF,25-008,14.0,0,1,0,0.0,0.07,0.0,0.0,,11.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Tyler Adams,us USA,MF,26-334,13.3,2,8,6,75.0,0.6,0.45,0.25,0.33,23.5,0,0,0,0.5,0.5,0.06,1.5,1.5,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,12.8,0,10,1,10.0,0.78,0.08,0.0,0.0,20.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
David Brooks,wls WAL,"FW,MF",28-190,10.4,1,39,12,30.8,3.75,1.15,0.03,0.08,15.6,2,0,0,4.3,4.3,0.11,-3.3,-3.3,Matches
Justin Kluivert,nl NED,MF,26-254,10.2,2,16,3,18.8,1.57,0.29,0.13,0.67,21.7,3,0,0,2.2,2.2,0.14,-0.2,-0.2,Matches
Adam Smith,eng ENG,DF,34-260,5.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,6.4,7,18,11,61.1,2.81,1.72,0.39,0.64,16.0,0,0,0,3.5,3.5,0.19,3.5,3.5,Matches
James Hill,eng ENG,DF,24-004,6.4,0,3,1,33.3,0.47,0.16,0.0,0.0,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Lewis Cook,eng ENG,"MF,DF",28-345,5.6,0,3,0,0.0,0.54,0.0,0.0,,28.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Veljko Milosavljević,rs SRB,DF,18-200,4.1,0,1,0,0.0,0.25,0.0,0.0,,7.9,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Amine Adli,ma MAR,"FW,MF",25-249,4.9,1,10,5,50.0,2.04,1.02,0.1,0.2,17.7,1,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Ryan Christie,sct SCO,MF,30-326,3.3,1,9,2,22.2,2.74,0.61,0.11,0.5,20.2,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
Enes Ünal,tr TUR,"FW,MF",28-249,1.3,1,6,2,33.3,4.54,1.51,0.17,0.5,17.5,2,0,0,1.0,1.0,0.16,0.0,0.0,Matches
Ben Gannon-Doak,sct SCO,FW,20-064,0.6,0,1,0,0.0,1.58,0.0,0.0,,14.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Julio Soler,ar ARG,"DF,FW",20-332,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hamed Junior Traorè,ci CIV,MF,25-332,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ben Winterburn,eng ENG,MF,21-132,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.7,21.0,34,286,100,35.0,13.62,4.76,0.11,0.32,18.1,13,2,3,32.0,29.7,0.11,2.0,2.3,
Opponent Total,,,26.7,21.0,39,257,93,36.2,12.24,4.43,0.14,0.39,16.3,4,3,3,31.2,29.0,0.11,7.8,7.0,
