Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-188,20.3,0,5,1,20.0,0.25,0.05,0.0,0.0,16.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,1,11,5,45.5,0.54,0.25,0.09,0.2,7.2,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
Thiago,br BRA,FW,24-202,19.5,16,44,24,54.5,2.26,1.23,0.25,0.46,13.6,0,5,6,12.5,7.8,0.18,3.5,3.2,Matches
Kevin Schade,de GER,FW,24-048,18.3,6,33,16,48.5,1.81,0.88,0.18,0.38,11.5,0,0,1,7.5,6.7,0.21,-1.5,-0.7,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,1,13,4,30.8,0.75,0.23,0.08,0.25,18.1,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,0,10,4,40.0,0.59,0.24,0.0,0.0,9.0,0,0,0,1.6,1.6,0.16,-1.6,-1.6,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,1,6,1,16.7,0.4,0.07,0.17,1.0,22.4,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,1,13,5,38.5,1.0,0.39,0.08,0.2,18.8,1,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,3,24,6,25.0,2.03,0.51,0.13,0.5,12.8,0,0,0,3.5,3.5,0.16,-0.5,-0.5,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,0,8,2,25.0,0.74,0.18,0.0,0.0,14.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,2,12,5,41.7,1.18,0.49,0.17,0.4,19.2,2,0,0,1.3,1.3,0.1,0.7,0.7,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,2,10,2,20.0,1.17,0.23,0.2,1.0,27.7,1,0,0,0.9,0.9,0.09,1.1,1.1,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,0,7,2,28.6,0.82,0.23,0.0,0.0,17.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Rico Henry,jm JAM,DF,28-190,8.0,0,4,0,0.0,0.5,0.0,0.0,,23.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,0,4,1,25.0,0.7,0.18,0.0,0.0,16.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,12.4,0,0,0,0.7,0.7,0.35,0.3,0.3,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,0,3,1,33.3,4.91,1.64,0.0,0.0,17.8,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.7,21.0,34,209,80,38.3,9.95,3.81,0.14,0.36,15.0,4,5,7,33.8,28.3,0.14,0.2,0.7,
Opponent Total,,,26.7,21.0,26,260,80,30.8,12.38,3.81,0.09,0.3,17.6,5,2,5,28.0,24.1,0.1,-2.0,-0.1,
