Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,19.8,0,3,0,0.0,0.15,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Maxime Estève,fr FRA,DF,23-233,17.1,0,6,1,16.7,0.35,0.06,0.0,0.0,10.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Josh Cullen,ie IRL,MF,29-282,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,19.7,0,0,0,0.9,0.9,0.08,1.1,1.1,Matches
Quilindschy Hartman,nl NED,DF,24-061,14.9,0,6,2,33.3,0.4,0.13,0.0,0.0,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Florentino Luís,pt POR,MF,26-148,14.6,0,7,1,14.3,0.48,0.07,0.0,0.0,21.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,14.3,3,17,6,35.3,1.19,0.42,0.18,0.5,16.6,0,0,0,2.1,2.1,0.12,0.9,0.9,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,14.0,5,20,10,50.0,1.43,0.72,0.25,0.5,15.1,0,0,0,2.5,2.5,0.12,2.5,2.5,Matches
Hjalmar Ekdal,se SWE,DF,27-085,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,12.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,11.8,1,8,3,37.5,0.68,0.25,0.13,0.33,19.7,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Lyle Foster,za RSA,FW,25-133,9.8,2,13,2,15.4,1.33,0.2,0.15,1.0,16.8,0,0,0,1.6,1.6,0.12,0.4,0.4,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-117,9.6,0,14,4,28.6,1.46,0.42,0.0,0.0,21.8,5,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Loum Tchaouna,fr FRA,"MF,FW",22-128,8.4,1,15,5,33.3,1.78,0.59,0.07,0.2,21.5,2,0,0,0.8,0.8,0.05,0.2,0.2,Matches
Axel Tuanzebe,cd COD,DF,28-061,7.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Zian Flemming,nl NED,FW,27-166,7.4,5,16,7,43.8,2.16,0.94,0.19,0.43,17.1,0,2,2,3.2,1.6,0.1,1.8,1.4,Matches
Armando Broja,al ALB,FW,24-126,7.1,1,13,5,38.5,1.84,0.71,0.08,0.2,11.7,0,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches
Lucas,br BRA,"DF,MF",24-296,5.6,0,8,1,12.5,1.43,0.18,0.0,0.0,21.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Hannibal Mejbri,tn TUN,MF,22-358,5.1,0,7,1,14.3,1.37,0.2,0.0,0.0,23.5,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Marcus Edwards,eng ENG,"FW,MF",27-042,4.5,0,10,2,20.0,2.23,0.45,0.0,0.0,20.4,3,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Bashir Humphreys,eng ENG,DF,22-305,3.9,0,2,0,0.0,0.52,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Oliver Sonne,pe PER,"DF,FW",25-065,1.9,1,3,1,33.3,1.6,0.53,0.33,1.0,11.4,0,0,0,0.6,0.6,0.18,0.4,0.4,Matches
Joe Worrall,eng ENG,DF,29-004,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mike Trésor,be BEL,"MF,FW",26-231,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ashley Barnes,eng ENG,FW,36-076,0.1,0,1,0,0.0,8.18,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Jaydon Amauri Banel,nl NED,MF,21-087,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.8,21.0,21,185,58,31.4,8.81,2.76,0.1,0.33,18.0,11,2,2,17.9,16.3,0.09,3.1,2.7,
Opponent Total,,,26.6,21.0,38,338,108,32.0,16.1,5.14,0.1,0.31,16.2,7,5,5,41.0,37.1,0.11,-3.0,-4.1,
