Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,0,8,1,12.5,0.41,0.05,0.0,0.0,14.5,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Sander Berge,no NOR,MF,27-334,19.1,0,5,2,40.0,0.26,0.1,0.0,0.0,18.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,7,45,16,35.6,2.71,0.96,0.16,0.44,18.9,2,0,0,3.8,3.8,0.09,3.2,3.2,Matches
Kenny Tete,nl NED,DF,30-097,14.9,1,10,3,30.0,0.67,0.2,0.1,0.33,19.2,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,2,18,7,38.9,1.22,0.47,0.11,0.29,21.7,0,0,0,0.8,0.8,0.04,1.2,1.2,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,5,42,8,19.0,2.89,0.55,0.1,0.5,13.7,2,1,1,5.6,4.8,0.12,-0.6,-0.8,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,1,5,1,20.0,0.33,0.07,0.2,1.0,17.6,0,0,0,0.6,0.6,0.12,0.4,0.4,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,1,11,1,9.1,0.86,0.08,0.09,1.0,16.5,0,0,0,1.8,1.8,0.17,-0.8,-0.8,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,2,7,3,42.9,0.56,0.24,0.29,0.67,15.7,0,0,0,0.9,0.9,0.12,1.1,1.1,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,0,16,5,31.3,1.66,0.52,0.0,0.0,19.7,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,3,20,6,30.0,1.97,0.59,0.15,0.5,14.8,0,0,0,2.9,2.9,0.14,0.1,0.1,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,0,6,2,33.3,0.7,0.23,0.0,0.0,9.7,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,0,17,8,47.1,2.14,1.01,0.0,0.0,19.4,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
Antonee Robinson,us USA,DF,28-159,6.5,0,2,0,0.0,0.31,0.0,0.0,,19.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Issa Diop,fr FRA,DF,29-005,4.6,0,1,0,0.0,0.22,0.0,0.0,,13.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,1,10,3,30.0,2.56,0.77,0.1,0.33,10.7,0,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,1,10,1,10.0,2.21,0.22,0.1,1.0,21.1,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,2,11,3,27.3,2.49,0.68,0.18,0.67,14.9,0,0,0,1.0,1.0,0.09,1.0,1.0,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,0,5,1,20.0,1.64,0.33,0.0,0.0,14.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,1,1,1,100.0,5.29,5.29,1.0,1.0,25.7,0,0,0,0.0,0.0,0.03,1.0,1.0,Matches
Squad Total,,,28.7,21.0,27,250,72,28.8,11.9,3.43,0.1,0.36,16.9,4,1,1,23.6,22.8,0.09,3.4,3.2,
Opponent Total,,,26.5,21.0,28,235,79,33.6,11.19,3.76,0.11,0.33,15.9,7,2,3,29.0,26.6,0.12,-1.0,-0.6,
