Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,8,28,14,50.0,1.44,0.72,0.25,0.5,19.3,1,1,1,3.9,3.1,0.11,4.1,3.9,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,0,16,5,31.3,1.01,0.32,0.0,0.0,23.2,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Malick Thiaw,de GER,DF,24-159,16.5,3,14,5,35.7,0.85,0.3,0.21,0.6,10.1,0,0,0,1.8,1.8,0.13,1.2,1.2,Matches
Nick Woltemade,de GER,FW,23-334,14.0,7,26,9,34.6,1.86,0.64,0.23,0.67,10.5,0,1,1,6.1,5.3,0.2,0.9,0.7,Matches
Nick Pope,eng ENG,GK,33-270,14.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dan Burn,eng ENG,DF,33-250,13.9,0,3,0,0.0,0.22,0.0,0.0,,10.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Joelinton,br BRA,MF,29-153,13.6,2,18,8,44.4,1.32,0.59,0.11,0.25,15.6,0,0,0,1.3,1.3,0.07,0.7,0.7,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,2,24,7,29.2,2.16,0.63,0.0,0.0,18.3,0,2,2,4.3,2.8,0.12,-2.3,-2.8,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,2,33,10,30.3,2.94,0.89,0.06,0.2,20.1,0,0,0,2.8,2.8,0.09,-0.8,-0.8,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,0,17,4,23.5,1.4,0.33,0.0,0.0,23.6,2,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,0,2,0,0.0,0.17,0.0,0.0,,18.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,1,11,3,27.3,0.97,0.26,0.09,0.33,19.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,0,12,2,16.7,1.14,0.19,0.0,0.0,20.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,5,30,15,50.0,2.84,1.42,0.17,0.33,16.1,0,0,0,4.5,4.5,0.15,0.5,0.5,Matches
Sven Botman,nl NED,DF,26-002,7.8,0,3,1,33.3,0.39,0.13,0.0,0.0,7.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,0,9,3,33.3,1.18,0.39,0.0,0.0,17.3,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,0,3,1,33.3,0.53,0.18,0.0,0.0,14.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,1,8,2,25.0,2.93,0.73,0.13,0.5,11.0,0,0,0,1.5,1.5,0.24,-0.5,-0.5,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,0,3,0,0.0,1.12,0.0,0.0,,14.6,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches
William Osula,dk DEN,FW,22-163,2.4,1,7,3,42.9,2.88,1.23,0.14,0.33,14.1,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Emil Krafth,se SWE,DF,31-165,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,0,1,0,0.0,4.29,0.0,0.0,,12.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Squad Total,,,27.4,21.0,32,268,92,34.3,12.76,4.38,0.1,0.3,17.1,4,4,4,31.0,27.9,0.11,1.0,0.1,
Opponent Total,,,26.7,21.0,25,226,77,34.1,10.76,3.67,0.1,0.29,16.8,6,3,3,23.3,21.0,0.1,1.7,1.0,
