Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,1,17,4,23.5,0.81,0.19,0.0,0.0,20.8,1,1,1,1.8,1.0,0.06,-0.8,-1.0,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,0,12,1,8.3,0.57,0.05,0.0,0.0,12.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Neco Williams,wls WAL,DF,24-276,21.0,1,23,11,47.8,1.1,0.52,0.04,0.09,21.3,1,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,5,42,13,31.0,2.12,0.66,0.1,0.31,16.9,3,1,1,5.9,5.1,0.12,-0.9,-1.1,Matches
Matz Sels,be BEL,GK,33-322,16.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Murillo,br BRA,DF,23-194,14.2,1,7,4,57.1,0.49,0.28,0.14,0.25,20.1,1,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,1,9,3,33.3,0.81,0.27,0.11,0.33,17.0,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Igor Jesus,br BRA,FW,24-323,12.8,1,39,7,17.9,3.06,0.55,0.03,0.14,12.0,0,0,0,3.4,3.4,0.09,-2.4,-2.4,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,3,20,6,30.0,1.61,0.48,0.15,0.5,20.4,1,0,0,1.8,1.8,0.09,1.2,1.2,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,2,5,3,60.0,0.44,0.26,0.4,0.67,10.3,0,0,0,1.3,1.3,0.27,0.7,0.7,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,2,9,3,33.3,0.94,0.31,0.22,0.67,22.3,0,0,0,0.7,0.7,0.08,1.3,1.3,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,1,18,7,38.9,1.83,0.71,0.06,0.14,17.2,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
Morato,br BRA,DF,24-198,7.9,0,1,0,0.0,0.13,0.0,0.0,,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,1,10,2,20.0,1.58,0.32,0.1,0.5,19.1,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Chris Wood,nz NZL,FW,34-038,6.0,2,16,6,37.5,2.67,1.0,0.13,0.33,9.5,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Matches
John,br BRA,GK,29-335,4.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ola Aina,ng NGA,DF,29-098,4.8,0,4,1,25.0,0.84,0.21,0.0,0.0,23.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,0,5,1,20.0,1.43,0.29,0.0,0.0,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,0,4,2,50.0,1.02,0.51,0.0,0.0,29.8,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,0,6,3,50.0,1.78,0.89,0.0,0.0,18.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,17.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,0,5,3,60.0,2.41,1.44,0.0,0.0,12.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,0,1,0,0.0,0.51,0.0,0.0,,33.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jair Cunha,br BRA,DF,20-313,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,0,4,1,25.0,3.75,0.94,0.0,0.0,15.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jota Silva,pt POR,FW,26-166,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.2,21.0,21,258,82,31.8,12.29,3.9,0.07,0.23,17.2,8,2,2,24.6,23.0,0.09,-3.6,-4.0,
Opponent Total,,,26.6,21.0,32,264,84,31.8,12.57,4.0,0.11,0.33,16.9,5,4,4,29.6,26.5,0.1,2.4,1.5,
