Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,3,12,4,33.3,0.6,0.2,0.25,0.75,10.0,0,0,0,2.1,2.1,0.18,0.9,0.9,Matches
Pedro Porro,es ESP,DF,26-123,18.8,0,13,1,7.7,0.69,0.05,0.0,0.0,24.6,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,18.6,2,0,0,1.9,1.9,0.07,0.1,0.1,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,1,9,2,22.2,0.57,0.13,0.11,0.5,18.5,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,2,11,4,36.4,0.68,0.25,0.18,0.5,12.5,0,0,0,1.0,1.0,0.09,1.0,1.0,Matches
Djed Spence,eng ENG,DF,25-158,15.0,0,5,3,60.0,0.33,0.2,0.0,0.0,16.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
João Palhinha,pt POR,MF,30-189,14.5,3,17,5,29.4,1.17,0.35,0.18,0.6,17.5,0,0,0,1.0,1.0,0.06,2.0,2.0,Matches
Richarlison,br BRA,FW,28-249,14.3,7,36,13,36.1,2.53,0.91,0.19,0.54,12.4,0,0,0,4.7,4.7,0.13,2.3,2.3,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,1,15,4,26.7,1.46,0.39,0.07,0.25,21.1,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,0,11,2,18.2,1.18,0.22,0.0,0.0,8.2,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,1,10,4,40.0,1.12,0.45,0.1,0.25,14.7,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
Archie Gray,eng ENG,MF,19-308,6.7,1,6,2,33.3,0.9,0.3,0.17,0.5,15.2,0,0,0,0.7,0.7,0.11,0.3,0.3,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,2,6,4,66.7,0.76,0.51,0.33,0.5,10.1,0,0,0,1.0,1.0,0.17,1.0,1.0,Matches
Kevin Danso,at AUT,DF,27-117,6.5,0,1,0,0.0,0.15,0.0,0.0,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,0,13,3,23.1,1.63,0.38,0.0,0.0,16.6,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,2,6,2,33.3,0.89,0.3,0.33,1.0,17.1,0,0,0,1.0,1.0,0.17,1.0,1.0,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,0,2,0,0.0,0.3,0.0,0.0,,11.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,3,10,4,40.0,1.91,0.77,0.3,0.75,18.7,0,0,0,0.6,0.6,0.06,2.4,2.4,Matches
Ben Davies,wls WAL,DF,32-265,1.3,1,2,2,100.0,1.51,1.51,0.5,0.5,7.6,0,0,0,0.5,0.5,0.25,0.5,0.5,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,0,2,1,50.0,5.45,2.73,0.0,0.0,15.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,0,1,0,0.0,15.0,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.9,21.0,29,214,69,32.2,10.19,3.29,0.14,0.42,15.7,4,0,0,20.1,20.1,0.1,8.9,8.9,
Opponent Total,,,26.7,21.0,27,240,81,33.8,11.43,3.86,0.11,0.32,16.9,8,1,1,26.7,26.0,0.11,0.3,0.0,
