Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,0,10,4,40.0,0.56,0.23,0.0,0.0,22.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,2,14,8,57.1,0.91,0.52,0.14,0.25,13.1,0,0,0,2.0,2.0,0.14,0.0,0.0,Matches
André,br BRA,MF,24-182,15.8,0,5,0,0.0,0.32,0.0,0.0,,29.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,1,17,5,29.4,1.17,0.34,0.0,0.0,16.9,0,1,2,2.8,1.2,0.07,-1.8,-1.2,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,1,16,3,18.8,1.37,0.26,0.06,0.33,15.2,3,0,0,3.3,3.3,0.2,-2.3,-2.3,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,0,7,4,57.1,0.54,0.31,0.0,0.0,19.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Toti Gomes,pt POR,DF,26-363,10.5,0,2,1,50.0,0.19,0.09,0.0,0.0,8.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,2,3,3,100.0,0.26,0.26,0.67,0.67,7.5,0,0,0,1.6,1.6,0.52,0.4,0.4,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,0,9,3,33.3,0.8,0.27,0.0,0.0,19.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,2,13,4,30.8,1.33,0.41,0.08,0.25,19.1,0,1,1,2.1,1.3,0.1,-0.1,-0.3,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,0,1,0,0.0,0.08,0.0,0.0,,18.1,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,0,7,3,42.9,0.73,0.31,0.0,0.0,11.2,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,1,14,6,42.9,1.44,0.62,0.07,0.17,14.1,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
José Sá,pt POR,GK,32-362,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,1,15,4,26.7,1.96,0.52,0.07,0.25,23.0,1,0,0,0.8,0.8,0.06,0.2,0.2,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,0,3,0,0.0,0.38,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,0,3,0,0.0,0.45,0.0,0.0,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,1,20,4,20.0,2.67,0.53,0.05,0.25,13.4,1,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,0,1,1,100.0,0.21,0.21,0.0,0.0,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Mateus Mane,pt POR,MF,18-120,5.0,2,12,7,58.3,2.39,1.39,0.17,0.29,23.5,0,0,0,0.6,0.6,0.05,1.4,1.4,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,1,11,3,27.3,2.99,0.82,0.09,0.33,14.3,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,20.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Lima,br BRA,MF,19-197,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.7,21.0,14,188,64,34.0,8.95,3.05,0.06,0.19,17.4,8,2,3,19.8,17.4,0.09,-5.8,-5.4,
Opponent Total,,,26.7,21.0,37,279,92,33.0,13.29,4.38,0.13,0.39,17.3,11,1,1,28.9,28.2,0.1,8.1,7.8,
