player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Raya,Arsenal,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Saliba,Arsenal,26,0.78,24,0,0,1,0,1,1,0.03,1,0,0,0,0,0
Rice,Arsenal,106,3.61,57,33,4,5,5,2,10,0.34,6,2,1,1,0,0
Partey,Arsenal,60,2.06,50,2,1,2,1,4,13,0.45,8,2,0,1,1,1
Magalhães,Arsenal,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0
Trossard,Arsenal,86,3.18,67,2,6,5,4,2,7,0.26,7,0,0,0,0,0
Timber,Arsenal,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0
Ødegaard,Arsenal,120,4.87,98,13,2,5,2,0,16,0.65,13,2,0,1,0,0
Martinelli,Arsenal,66,2.79,50,1,8,4,3,0,6,0.25,3,0,1,1,1,0
Havertz,Arsenal,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0
Saka,Arsenal,109,6.04,66,19,11,9,4,0,22,1.22,13,5,2,1,1,0
Merino,Arsenal,41,2.47,34,0,0,5,2,0,4,0.24,3,0,0,1,0,0
Lewis-Skelly,Arsenal,25,1.79,18,0,1,0,6,0,0,0.0,0,0,0,0,0,0
White,Arsenal,18,1.59,18,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Calafiori,Arsenal,13,1.25,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0
Nwaneri,Arsenal,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0
Jorginho,Arsenal,12,1.55,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Kiwior,Arsenal,6,0.57,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jesus,Arsenal,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0
Sterling,Arsenal,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0
Zinchenko,Arsenal,16,3.14,11,1,1,2,1,0,2,0.39,2,0,0,0,0,0
Tierney,Arsenal,8,3.71,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Butler-Oyedeji,Arsenal,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tomiyasu,Arsenal,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nelson,Arsenal,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Martínez,Aston Villa,6,0.18,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Tielemans,Aston Villa,119,3.57,78,31,3,4,2,1,12,0.36,9,3,0,0,0,0
Rogers,Aston Villa,102,3.12,77,0,13,7,5,0,15,0.46,13,0,1,0,1,0
Konsa,Aston Villa,23,0.75,18,2,1,2,0,0,3,0.1,3,0,0,0,0,0
Watkins,Aston Villa,51,1.89,34,0,4,7,6,0,11,0.41,7,0,1,1,2,0
Digne,Aston Villa,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0
McGinn,Aston Villa,68,2.95,52,6,0,4,5,1,7,0.3,6,1,0,0,0,0
Cash,Aston Villa,23,1.1,20,1,1,0,0,1,3,0.14,2,0,0,0,0,1
Torres,Aston Villa,12,0.59,9,0,0,3,0,0,2,0.1,1,0,0,1,0,0
Ramsey,Aston Villa,51,2.88,40,0,4,1,6,0,8,0.45,7,0,0,0,1,0
Kamara,Aston Villa,25,1.45,18,1,1,2,1,2,2,0.12,2,0,0,0,0,0
Onana,Aston Villa,29,1.78,22,2,1,4,0,0,4,0.25,2,1,0,1,0,0
Bailey,Aston Villa,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0
Mings,Aston Villa,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0
Maatsen,Aston Villa,49,4.59,36,3,4,5,0,1,7,0.66,6,0,1,0,0,0
Carlos,Aston Villa,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Asensio,Aston Villa,28,4.14,17,7,0,1,2,1,3,0.44,2,0,0,1,0,0
Disasi,Aston Villa,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Bogarde,Aston Villa,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0
García,Aston Villa,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Durán,Aston Villa,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
Rashford,Aston Villa,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0
Barkley,Aston Villa,18,2.84,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0
Jaden Philogene Bidace,Aston Villa,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Malen,Aston Villa,5,1.53,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Olsen,Aston Villa,2,1.0,0,2,0,0,0,0,1,0.5,0,1,0,0,0,0
Nedeljković,Aston Villa,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Buendía,Aston Villa,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kerkez,Bournemouth,77,2.19,62,4,1,2,5,3,9,0.26,7,0,1,0,0,1
Semenyo,Bournemouth,127,3.78,82,4,19,15,5,2,13,0.39,7,1,2,1,2,0
Zabarnyi,Bournemouth,28,0.86,25,1,0,0,0,2,0,0.0,0,0,0,0,0,0
Cook,Bournemouth,88,2.73,68,18,0,2,0,0,5,0.15,2,1,0,2,0,0
Arrizabalaga,Bournemouth,4,0.14,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
