player_name,team,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
David Raya,Arsenal,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
Squad Total,Arsenal,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
Opponent Total,Arsenal,69,1.82,180,113,62.8,4,14,20,5,13.2,2,2,0,0,0.0
Emiliano Martínez,Aston Villa,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0
Robin Olsen,Aston Villa,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0
Squad Total,Aston Villa,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3
Opponent Total,Aston Villa,58,1.53,165,106,66.7,10,9,19,7,18.4,6,3,3,0,50.0
Kepa Arrizabalaga,Bournemouth,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0
Mark Travers,Bournemouth,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,
Neto,Bournemouth,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
Squad Total,Bournemouth,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0
Opponent Total,Bournemouth,58,1.53,199,141,73.9,12,11,15,8,21.1,7,6,1,0,14.3
Mark Flekken,Brentford,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0.0
Hákon Rafn Valdimarsson,Brentford,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,
Squad Total,Brentford,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0
Opponent Total,Brentford,66,1.74,179,113,65.9,14,8,16,8,21.1,6,5,1,0,16.7
Bart Verbruggen,Brighton,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0
Jason Steele,Brighton,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
Squad Total,Brighton,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0
Opponent Total,Brighton,66,1.74,190,126,68.9,9,13,16,5,13.2,7,7,0,0,0.0
Robert Sánchez,Chelsea,34,1.13,124,89,75.8,15,9,6,8,26.7,5,4,1,0,20.0
Filip Jørgensen,Chelsea,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0
Squad Total,Chelsea,43,1.19,152,108,75.0,18,9,9,9,25.0,6,5,1,0,16.7
Opponent Total,Chelsea,62,1.72,203,143,71.4,9,9,18,7,19.4,5,4,1,0,20.0
Dean Henderson,Crystal Palace,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
Squad Total,Crystal Palace,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
Opponent Total,Crystal Palace,51,1.34,179,129,73.2,11,14,13,8,21.1,4,3,1,0,25.0
Jordan Pickford,Everton,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0
